basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4765449,ca.proc.d.2018-12-07.p5722324,2018-12-07,,,,stagedirection,Government Orders,Corrections and Conditional Release Act,,"The House proceeded to the consideration of Bill C-83, An Act to amend the Corrections and Conditional Release Act and another Act, as reported (with amendments) from the committee.",,,,
4765450,ca.proc.d.2018-12-07.10435015,2018-12-07,78336f0e-962c-47d2-a5b8-b59a26592789,217320,"Mr. Matthew Dubé (Beloeil—Chambly, NDP)",,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, I would like to draw your attention to the notices of motion that were tabled for the report stage amendments. They are government amendments, since royal recommendations were made.
More specifically, I would like to draw your attention to Motion No. 17. I want to begin by saying that my intention here is not to point the finger at the Journals staff or the translators. We know that last night, at ten to midnight, they were very quietly given some government amendments to a bill that was criticized by all of the witnesses who appeared in committee.
With regard to Motion No. 17, we see that, contrary to usual practice, the French and English versions of the motion do not match up at all. That makes members' work more complicated, particularly the work of members who are bilingual like me, because we want to ensure that the French and English versions match and that everything is consistent. The fact that the two versions are not the same interferes with the work that needs to be done. Once again, I am saying this with the utmost respect for the translators. It is particularly shameful that the government did not submit these notices until last night at 10 p.m., knowing that the debate was taking place today.
I would therefore like to draw the Chair's attention to the government's amateurism since it prevents me, as a bilingual francophone MP, from properly examining the amendments tabled. I would like the Chair to consider this matter and issue a ruling to prevent this type of thing from happening again. I would also like the Chair to verify the admissibility of what is being presented today, of course.",New Democratic Party,Beloeil—Chambly,Matthew Dubé,http://www.parl.gc.ca/Parliamentarians/en/members/matthew-dube(217320)
4765451,ca.proc.d.2018-12-07.10435018,2018-12-07,07cf5767-802c-406c-92a7-7dc92af79b40,229526,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, on the same point of order, I want to thank my colleague for raising the issue. The government is, in fact, aware of it and is working to make sure that we can resolve it in a satisfactory fashion. I just want to emphasize that.",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(229526)
4765452,ca.proc.d.2018-12-07.10435020,2018-12-07,78336f0e-962c-47d2-a5b8-b59a26592789,217320,Mr. Matthew Dubé,,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, I am not suggesting the government acted in bad faith, but we are debating these motions today, so when we are told not to worry and that the government is aware of the situation, that is hardly satisfactory. This is what we are debating today, so the whole situation is utterly deplorable.",New Democratic Party,Beloeil—Chambly,Matthew Dubé,http://www.parl.gc.ca/Parliamentarians/en/members/matthew-dube(217320)
4765453,ca.proc.d.2018-12-07.10435022,2018-12-07,9c9a64e6-58f1-4367-9f49-93ad31744c96,217548,"Mrs. Cathy McLeod (Kamloops—Thompson—Cariboo, CPC)",,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, my colleague brings up an important point. When we get improper text and are expected to debate it within a couple of hours, it is probably not a point of order. It is almost a point of privilege.
 Therefore, I want to share my concerns about the sloppiness of what the government has done, whether it was intentional or not, and the significant challenges it places on a member to ensure proper debate when there are only a couple of hours.",Conservative,Kamloops—Thompson—Cariboo,Cathy McLeod,http://www.parl.gc.ca/Parliamentarians/en/members/cathy-mcleod(217548)
4765454,ca.proc.d.2018-12-07.10435025,2018-12-07,07cf5767-802c-406c-92a7-7dc92af79b40,229526,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, just to further expand, there is nothing mischievous being planned. We have a subamendment to address the issue that has been raised. If we continue, we will see that the subamendment brought forward will address the concerns of the House. ",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(229526)
4765455,ca.proc.d.2018-12-07.10435028,2018-12-07,eaa6694f-1e20-4aae-ad3b-e694b0e12c59,224170,"Ms. Elizabeth May (Saanich—Gulf Islands, GP)",,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, on the same point of order, I am very torn. I would say that normally, I would want to accept what the hon. parliamentary secretary said. I have an amendment at report stage. I am prepared to speak to it. However, I do not think the rules of this House would allow us to proceed with an imperfect amendment placed before us at report stage. I do not think we can say that we will proceed and hope it all turns out all right, as much as I would like to. I think it would violate our rules to proceed in such a fashion.",Green Party,Saanich—Gulf Islands,Elizabeth May,http://www.parl.gc.ca/Parliamentarians/en/members/elizabeth-may(224170)
4765456,ca.proc.d.2018-12-07.10435029,2018-12-07,cedf1659-ebb1-4f26-b723-5c7c5353988b,214948,The Assistant Deputy Speaker (Mrs. Carol Hughes),,Government Orders,Points of Order,Bill C-83—Motion No. 17,The member for Charlesbourg—Haute-Saint-Charles would like to speak to the same point of order.,New Democratic Party,Algoma—Manitoulin—Kapuskasing,Carol Hughes,http://www.parl.gc.ca/Parliamentarians/en/members/carol-hughes(214948)
4765457,ca.proc.d.2018-12-07.10435030,2018-12-07,9fe7bceb-dae2-4f26-b87b-2de1f38b4b84,234445,"Mr. Pierre Paul-Hus (Charlesbourg—Haute-Saint-Charles, CPC)",,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, Bill C-83 has been problematic from the start. Committee members even moved a motion to stop this bill. The witnesses were unanimous in their assessment that it does not work. We wanted the government to take the bill back and re-evaluate it, but the government refused.
This morning we were provided with a very sloppy French version that was all wrong, and this in the context of a conversation about how profoundly important official languages are in Canada. The government goes on and on about how it is fighting for this, and it keeps accusing the Conservatives of not being pro-French, but that is totally false.
I am the public safety critic. I am a francophone and a Quebecker. When the government hands us a document like this, as my colleague from Beloeil—Chambly said, we do not blame public servants. We blame the government for forcing everyone to do things too fast because it cannot get its own act together.
I do not think we should debate this today. It does not work.",Conservative,Charlesbourg—Haute-Saint-Charles,Pierre Paul-Hus,http://www.parl.gc.ca/Parliamentarians/en/members/pierre-paul-hus(234445)
4765458,ca.proc.d.2018-12-07.10435032,2018-12-07,2347a7b8-8e45-4c51-bdc6-f6c32375ad50,217233,"Mr. Brian Masse (Windsor West, NDP)",,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, we are at a crossroads right now with regard to making the situation better or worse, and by continuing, we will make it worse. I would like to point out that this was predictable in the sense that the government is making these amendments and changes at the last minute. This was entirely brought on by its own course of action. This was not the responsible action of the people behind the scenes that make this place work. This was brought about because the Liberals did so at such a late time that it caught up to them. At this point, are we going to make things worse or better? I would suggest that we make them better by deferring. ",New Democratic Party,Windsor West,Brian Masse,http://www.parl.gc.ca/Parliamentarians/en/members/brian-masse(217233)
4765459,ca.proc.d.2018-12-07.10435034,2018-12-07,64cec702-209d-4f03-bb85-1943f635d077,217595,"Mr. Luc Berthold (Mégantic—L'Érable, CPC)",,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, if I decide to read a bill or some amendments in French only, and my anglophone colleagues are not reading the same thing, that is completely unacceptable. It infringes upon my rights. It infringes upon my colleagues' rights.
What exactly will we be debating? For that reason, I think it is totally unacceptable that we continue debating these amendments, since we will be talking about two completely different things, depending on whether a member is anglophone or francophone. That is unacceptable in the House.
The government has a duty and a responsibility to protect our official language rights. In proceeding this way, the government essentially wants us to trample on the rights of Canada's two official language communities.",Conservative,Mégantic—L'Érable,Luc Berthold,http://www.parl.gc.ca/Parliamentarians/en/members/luc-berthold(217595)
4765460,ca.proc.d.2018-12-07.10435036,2018-12-07,78336f0e-962c-47d2-a5b8-b59a26592789,217320,Mr. Matthew Dubé,,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, I would also like a review of the comments made by the parliamentary secretary who tried to reassure us by saying that a subamendment is coming and will likely be presented by my colleague in her speech on the amendments.
We have not seen those subamendments. That in itself is also problematic, since the government is announcing this to us without us having seen them, saying that this will fix an issue that has nothing to do with today's debate.",New Democratic Party,Beloeil—Chambly,Matthew Dubé,http://www.parl.gc.ca/Parliamentarians/en/members/matthew-dube(217320)
4765461,ca.proc.d.2018-12-07.10435039,2018-12-07,e277e13e-59ec-425f-a957-eb5e54d8cb62,217679,"Mr. Gérard Deltell (Louis-Saint-Laurent, CPC)",,Government Orders,Points of Order,Bill C-83—Motion No. 17,"Madam Speaker, where is the fire? Under the Standing Orders, we are scheduled to sit until Friday of next week. Therefore we still have lots of time to organize our parliamentary business to ensure that the work is done properly. 
Right now we are seized with amendments. When we look at amendments we get into the details. As the saying goes, “the devil is in the details”. If we want to do serious, thorough work, if we want to ensure that Canadians have confidence in our democracy, our parliamentary system and our work as elected members, then we have to do things properly.
Since we are nearing the final stage and getting to the end, we have to make sure that everything is done properly because once this bill is passed, once we move ahead with this, there is no turning back, or there will be delays.
The House is sitting until next Friday, so let's take the time to do things properly.",Conservative,Louis-Saint-Laurent,Gérard Deltell,http://www.parl.gc.ca/Parliamentarians/en/members/gerard-deltell(217679)
