basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4766493,ca.proc.d.2018-12-12.10445433,2018-12-12,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,,,,"It being Wednesday, we will now have the singing of O Canada, led by the hon. member for Long Range Mountains.
[Members sang the national anthem]",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4766494,ca.proc.d.2018-12-12.10445442,2018-12-12,530dc476-c9bf-477c-83e7-6efc545f2bf8,224177,"Mr. Luc Thériault (Montcalm, BQ)",,Statements By Members,New Year's Resolutions,,"Mr. Speaker, on behalf of the Bloc Québécois, I would like to wish all Quebeckers a merry Christmas and a happy new year. I would also like to extend holiday greetings to my fellow members of Parliament.
The holidays give us a chance to spend time with our loved ones and recharge our batteries. New Year's Day being a time for making resolutions, I have a few suggestions for the Prime Minister.
First, he could resolve to pay for his own vacations and avoid bringing too much clothing in his luggage when he travels abroad.
Second, he could resolve to give Davie some really good contracts, increase health transfers and compensate our farmers for losses due to the new free trade agreements.
Last, he could resolve to not run a pipeline through Quebec and, if possible, to not buy pipelines from Americans with our money. He could also resolve to listen to Quebeckers for once. That would be great.
Happy holidays to all.",Bloc Québécois,Montcalm,Luc Thériault,http://www.parl.gc.ca/Parliamentarians/en/members/luc-theriault(224177)
4766495,ca.proc.d.2018-12-12.10445446,2018-12-12,7cff4486-6787-493d-a4ee-a59d48f68ab3,219527,"Hon. Denis Paradis (Brome—Missisquoi, Lib.)",,Statements By Members,High-Speed Internet,,"Mr. Speaker, the rapid deployment of high-speed Internet is essential to the people of Brome—Missisquoi. This is an essential service that many of my constituents have been waiting for for a long time.
On November 28, I met Patrick Bonvouloir, the president and CEO of IHR Télécom, a company that rolled out fibre optics across my riding. My colleague, the member for Saint-Jean was there, and we discussed what needs to be done to move forward quickly, including the involvement of the CRTC.
I want to point out that IHR Télécom was among the first to receive federal and provincial government approval. It has done exemplary work, and the first homes in Pike River and Saint-Sébastien will be connected as of January 2019. Everyone involved in this file must work together to get all of Brome—Missisquoi connected as quickly as possible.
I want to take this opportunity to wish everyone happy holidays and to thank my team for their excellent work.",Liberal,Brome—Missisquoi,Denis Paradis,http://www.parl.gc.ca/Parliamentarians/en/members/denis-paradis(219527)
4766496,ca.proc.d.2018-12-12.10445449,2018-12-12,b6850f16-57dc-486c-b5bb-0fd191022af4,216935,"Mr. Garnett Genuis (Sherwood Park—Fort Saskatchewan, CPC)",,Statements By Members,Human Rights,,"Mr. Speaker, while we enjoy time away, I hope we will remain attentive to challenges facing fragile democracies around the world. For example, in Sri Lanka, the President has sought to oust the elected Prime Minister and replace him with a former president with a troubling human rights record. Our active engagement with that situation now is needed to prevent the complete erosion of democracy. During the last election, the Liberals promised to actively engage the situation in Sri Lanka to promote justice and reconciliation but have failed to act.
 The human rights situation in Turkey deserves more attention as well. Much has rightly been said about the murder of Jamal Khashoggi, but let us not forget that the Saudi consulate is not the only place in Turkey where it is dangerous to be a journalist. Canada must not allow Turkey to use this incident to whitewash its own declining human rights record.
I note as well that the people of Bangladesh will be going to the polls over our Christmas holidays. Minority communities and other Bangladeshis are hopeful that communal violence will be avoided. Canadians are watching and are wishing that country very well.
 As we prepare for the holidays, let us recommit ourselves to standing up for the less fortunate and to greater engagement with human rights issues around the world.
Merry Christmas.",Conservative,Sherwood Park—Fort Saskatchewan,Garnett Genuis,http://www.parl.gc.ca/Parliamentarians/en/members/garnett-genuis(216935)
4766497,ca.proc.d.2018-12-12.10445453,2018-12-12,726008a1-cf4f-46b2-ad5c-1503f936671b,215871,"Mr. Doug Eyolfson (Charleswood—St. James—Assiniboia—Headingley, Lib.)",,Statements By Members,Volunteerism,,"Mr. Speaker, I rise today to honour two constituents, Rusty and his human companion, George Ames, for their amazing work at the St. Boniface Hospital. Rusty, the fluffy, glasses-wearing therapy dog, and George have been a fixture at the hospital for nearly a decade, volunteering their time comforting both patients and staff. 
Last year the pair received the Senate 150th Anniversary Medal for their dedication, and recently, the hospital unveiled a portrait the doctors commissioned in their honour. As one of the doctors at St. Boniface said, “I think that a happy, good-natured, loving dog makes a big difference to alleviate some of that stress and help you remember that there's a lot of goodness in the world.”
 At 15 years of age, Rusty is still going strong and is helping people in all walks of life get through stressful and difficult times.
 I thank George for his dedication to helping bring moments of cheer into people's lives, and to Rusty I say, “Good boy.” ",Liberal,Charleswood—St. James—Assiniboia—Headingley,Doug Eyolfson,http://www.parl.gc.ca/Parliamentarians/en/members/doug-eyolfson(215871)
4766498,ca.proc.d.2018-12-12.10445457,2018-12-12,4bc128a9-b349-4867-a545-ad05122c0e46,217242,"Ms. Niki Ashton (Churchill—Keewatinook Aski, NDP)",,Statements By Members,Government of Canada,,"Mr. Speaker, 2018 has been a tough year for people where I am from. People have lost their jobs in communities like Thompson and are set to lose them in Flin Flon. Communities like Churchill are struggling to find their footing. First nations continue to face a housing crisis. Education is grossly underfunded. People are literally dying because of the lack of health care supports.
 People have had enough. It is similar across the country. Canadians are falling behind, all this while their government sits on the sidelines. Instead of fighting for good jobs, the government is fighting workers, like postal workers, and speeding up the hollowing out of industries through foreign takeovers and job-killing trade deals. Instead of fighting climate change, the government is buying a pipeline. The government is not part of the solution; it is part of the problem. 
This is my message to the Prime Minister. Enough of the benefits for rich corporate friends. Enough of hollow words on climate change. Enough of pushing Canadians further behind.
 Enough is enough. Canadians deserve better in 2019.",New Democratic Party,Churchill—Keewatinook Aski,Niki Ashton,http://www.parl.gc.ca/Parliamentarians/en/members/niki-ashton(217242)
4766499,ca.proc.d.2018-12-12.10445460,2018-12-12,b69886d7-ac34-44bd-ab73-bac915667dd6,229506,"Mrs. Karen McCrimmon (Kanata—Carleton, Lib.)",,Statements By Members,Condolences,,"Mr. Speaker, it is with great sadness that I rise to speak of the passing of the granddaughter of long-time member of Parliament Marlene Catterall. 
Marlene asked me to share that at 21 years old, Claire had everything to live for. She was beautiful, smart, talented, caring and loved by all, but barely a week ago, Claire took her own life, unable to live any longer with the demons of depression that tormented her.
The unwavering devotion and care of her adoring parents and the years of medication and treatment in the end could not rescue her from this terrible illness. At the age of 16, however, Claire had registered as an organ donor, and so in fulfilling her wish, we know that Claire will live on as her precious heart continues to beat in another body to live a new life, to give life, and to save another family from the grief that her's is enduring now.
I say to her, “Shine brightly, Claire, shine on.” We love her.",Liberal,Kanata—Carleton,Karen McCrimmon,http://www.parl.gc.ca/Parliamentarians/en/members/karen-mccrimmon(229506)
4766500,ca.proc.d.2018-12-12.10445464,2018-12-12,4437c848-d8c7-4a39-a948-1539969f3a90,234764,"Ms. Marilyn Gladu (Sarnia—Lambton, CPC)",,Statements By Members,One Seed Project,,"Mr. Speaker, I want to give a shout-out to Lambton College for its Enactus project, the One Seed project, which just won first place globally. The students in this project have lifted 330,000 people in Zambia out of poverty. By training 75,000 farmers in no-till farming methods, people who did not have enough food for a day are now able to sustain themselves and their families. The profits from their improved yields went into rainwater collection for drip irrigation, which allowed crop diversification into other foods, such as peanuts. This led to the construction of a peanut butter factory. Enactus students even built a health centre for the community.
 I am so proud of Lambton College, the Enactus program and the work of the One Seed team. One Seed is number one.",Conservative,Sarnia—Lambton,Marilyn Gladu,http://www.parl.gc.ca/Parliamentarians/en/members/marilyn-gladu(234764)
4766501,ca.proc.d.2018-12-12.10445467,2018-12-12,e1f28a5b-c4f6-453e-8d78-f346683e1fb8,215948,"Mr. Dan Ruimy (Pitt Meadows—Maple Ridge, Lib.)",,Statements By Members,Project Wellness,,"Mr. Speaker, you may remember that a year ago, I rose to celebrate my constituent George Klassen's 80th birthday and the work he does drilling water wells with Project Wellness. I ended by saying that maybe one day, I will be out there with him.
This past constituency week, in November, I took some personal time to join George in Malawi, Africa, and what an incredible journey it was. We drilled wells in three villages and provided a sustainable source of fresh, clean water to thousands of people. I saw first-hand the impact fresh water can have in a village. They now have the ability to grow their own crops. They no longer have to drink from the river they bathe in. This leads to less sickness and disease, which leads to better health.
We look around and see what they do not have. They look around and they see what they do have.
This Christmas will be the most special for me. George is with us today. From my family in this House to his, I say merry Christmas.",Liberal,Pitt Meadows—Maple Ridge,Dan Ruimy,http://www.parl.gc.ca/Parliamentarians/en/members/dan-ruimy(215948)
4766502,ca.proc.d.2018-12-12.10445470,2018-12-12,500229ce-460b-45f9-93ce-abf974f9787d,229492,"Ms. Kate Young (London West, Lib.)",,Statements By Members,Make-A-Wish Canada,,"Mr. Speaker, for years, the Make-A-Wish foundation has granted wishes to children with life-threatening medical conditions. 
Aiden Anderson is a 15-year-old boy from my riding of London West who lives with a severe heart condition. Today his wish is coming true. Aiden's wish is to be Prime Minister for the day. He is here today with his family on Parliament Hill and gets to experience a tour of Centre Block, dining at the parliamentary restaurant, holding his own press conference and of course, meeting the Prime Minister of Canada. 
His strength, determination and courage serve as an inspiration. He sets an example for all of us and demonstrates that no matter one's age or the challenge we face, we can and we will succeed.
I congratulate the Prime Minister for the day, Aiden Anderson.",Liberal,London West,Kate Young,http://www.parl.gc.ca/Parliamentarians/en/members/kate-young(229492)
