basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4737704,ca.proc.d.2018-03-20.10012384,2018-03-20,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Public Sector Integrity Commissioner,,"I have the honour, pursuant to section 38 of the Public Servants Disclosure Protection Act, to lay upon the table the case report of the Public Service Integrity Commissioner in the matter of an investigation into allegations of wrongdoing. This report is deemed permanently referred to the Standing Committee on Government Operations and Estimates. ",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4737705,ca.proc.d.2018-03-20.10012678,2018-03-20,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Parliamentary Budget Officer,,"Pursuant to subsection 79.2(2) of the Parliament of Canada Act, it is my duty to present to the House a report from the Parliamentary Budget Officer entitled “Federal Financial Support to Provinces and Territories: A Long-term Scenario Analysis”.
Pursuant to section 79.22 of the Parliament of Canada Act, it is my duty to present to the House a report from the parliamentary budget officer entitled “Federal Personnel Spending: Past and future trends”.",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4737706,ca.proc.d.2018-03-20.10012426,2018-03-20,07cf5767-802c-406c-92a7-7dc92af79b40,229526,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Routine Proceedings,Government Response to Petitions,,"Mr. Speaker, pursuant to Standing Order 36(8), I have the honour to table, in both official languages, the government's response to 15 petitions.",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(229526)
4737707,ca.proc.d.2018-03-20.10012877,2018-03-20,1a1a9dee-c228-40fc-b926-42f8441d84f0,214405,"Hon. Ralph Goodale (Minister of Public Safety and Emergency Preparedness, Lib.)",,Routine Proceedings,An Act in Relation to Firearms,," moved for leave to introduce Bill C-71, an act to amend certain acts and regulations in relation to firearms.
 (Motions deemed adopted, bill read the first time and printed) ",Liberal,Regina—Wascana,Ralph Goodale,http://www.parl.gc.ca/Parliamentarians/en/members/ralph-goodale(214405)
4737708,ca.proc.d.2018-03-20.10012454,2018-03-20,72e2a81c-f40c-4c0f-8be0-09a9e61254c3,219070,"Hon. Robert Nault (Kenora, Lib.)",,Routine Proceedings,Interparliamentary Delegations,,"Mr. Speaker, pursuant to Standing Order 34(1), I have the honour to present, in both official languages, the report of the Canadian section of ParlAmericas respecting our participation in the 14th plenary assembly and the 44th meeting of the board of directors of ParlAmericas, held in Medellin, Colombia, November 15-17, 2017.",Liberal,Kenora,Bob Nault,http://www.parl.gc.ca/Parliamentarians/en/members/bob-nault(219070)
4737709,ca.proc.d.2018-03-20.10012472,2018-03-20,72e2a81c-f40c-4c0f-8be0-09a9e61254c3,219070,"Hon. Robert Nault (Kenora, Lib.)",,Routine Proceedings,Committees of the House,Foreign Affairs and International Development,"Mr. Speaker, I have two reports from our standing committee.
I have the honour to present, in both official languages, the 16th report of the Standing Committee on Foreign Affairs and International Development, in relation to Bill C-47, an act to amend the Export and Import Permits Act and the Criminal Code, with amendments permitting the accession to the Arms Trade Treaty and other amendments. The committee has studied the bill and has decided to report the bill back to the House with amendments.
I have the honour to present, in both official languages, the 17th report of the Standing Committee on Foreign Affairs and International Development, entitled “Focused, Independent, and Patient: Building a World-Class Canadian Development Finance Institution”. Pursuant to Standing Order 109, the committee requests that the government table a comprehensive response to this report.",Liberal,Kenora,Bob Nault,http://www.parl.gc.ca/Parliamentarians/en/members/bob-nault(219070)
4737710,ca.proc.d.2018-03-20.10012488,2018-03-20,6025d38f-3695-4037-8221-3f4cb652936b,218940,"Mr. Bill Casey (Cumberland—Colchester, Lib.)",,Routine Proceedings,Committees of the House,Health,"Mr. Speaker, I have the honour to present, in both official languages, the 13th report of the Standing Committee on Health, in relation to Bill S-5, an act to amend the Tobacco Act and the Non-smokers’ Health Act and to make consequential amendments to other acts. 
In tabling this, I want to thank all the members of the committee and all the people who made presentations to the committee to help us understand the impacts of smoking and vaping. We learned that every 14 minutes someone in Canada dies of a nicotine-related illness, and that every day 100,000 young people start to smoke. This bill would help to discourage that trend. Again, I want to thank the committee and all those who participated. 
The committee amended this bill, and I think we made it better. The report was passed unanimously by all parties. In the end, I am confident that this legislation will have an immediate impact and make Canadians healthier and safer. ",Liberal,Cumberland—Colchester,Bill Casey,http://www.parl.gc.ca/Parliamentarians/en/members/bill-casey(218940)
4737711,ca.proc.d.2018-03-20.10012500,2018-03-20,4437c848-d8c7-4a39-a948-1539969f3a90,234764,"Ms. Marilyn Gladu (Sarnia—Lambton, CPC)",,Routine Proceedings,Petitions,Canada Summer Jobs Program,"Mr. Speaker, this petition calls on the Liberal government to change the federal summer jobs program. The petitioners say that it currently renders Canadian employers who believe in legal protection for preborn children and traditional sexual morality ineligible to apply. They call it unconstitutional discrimination being done in an Orwellian manner by the attestation that has been put in place. The petitioners are calling on the government to eliminate it. 
The petitioners also say that if the government is permitted to discriminate under this program, a precedent will be set allowing discrimination in other government programs.",Conservative,Sarnia—Lambton,Marilyn Gladu,http://www.parl.gc.ca/Parliamentarians/en/members/marilyn-gladu(234764)
4737712,ca.proc.d.2018-03-20.10012516,2018-03-20,6fda5a4f-19c6-4cf2-b72d-9a00b48e0d21,219053,"Ms. Hélène Laverdière (Laurier—Sainte-Marie, NDP)",,Routine Proceedings,Petitions,Rail Transportation,"Mr. Speaker, today I have the honour and pleasure of presenting a petition signed by over 2,000 people. They are concerned about railways that cut through cities and neighbourhoods across Canada, forcing people to take long detours or cross railways unsafely. The Minister of Transport has an obligation to take action and remove barriers between our neighbourhoods by creating safe, well-defined level crossings and foot bridges.",New Democratic Party,Laurier—Sainte-Marie,Hélène Laverdière,http://www.parl.gc.ca/Parliamentarians/en/members/helene-laverdiere(219053)
4737713,ca.proc.d.2018-03-20.10012526,2018-03-20,2b5e6bf0-39d0-4d35-bcaa-dacd1834246d,218274,"Mr. Harold Albrecht (Kitchener—Conestoga, CPC)",,Routine Proceedings,Petitions,Canada Summer Jobs Program,"Mr. Speaker, I have a petition to present today signed by many Ontario residents.
The petitioners point out that section 2 of the Canadian Charter of Rights and Freedoms identifies, among other things, freedom of conscience, freedom of thought, and freedom of belief as fundamental freedoms. The petitioners are calling on the Prime Minister to defend the freedoms of conscience, thought, and belief, and to withdraw the attestation requirement for applicants for the Canada summer jobs program.",Conservative,Kitchener—Conestoga,Harold Albrecht,http://www.parl.gc.ca/Parliamentarians/en/members/harold-albrecht(218274)
4737714,ca.proc.d.2018-03-20.10012534,2018-03-20,eb8710eb-e6dd-4c04-9d9a-60e7c8503565,217274,"Mr. Kennedy Stewart (Burnaby South, NDP)",,Routine Proceedings,Petitions,The Environment,"Mr. Speaker, I have a petition to present today signed by residents of British Columbia in my riding of Burnaby South.
The petitioners are calling on the Government of Canada to immediately prevent the Kinder Morgan pipeline from being built through their community. Dozens of people are being arrested in an effort to try to stop this pipeline, and many of them have signed the petition.
I am calling on the government to make sure it pays attention to this petition and to make sure it answers my constituents.",New Democratic Party,Burnaby South,Kennedy Stewart,http://www.parl.gc.ca/Parliamentarians/en/members/kennedy-stewart(217274)
4737715,ca.proc.d.2018-03-20.10012544,2018-03-20,eaa6694f-1e20-4aae-ad3b-e694b0e12c59,224170,"Ms. Elizabeth May (Saanich—Gulf Islands, GP)",,Routine Proceedings,Petitions,Animal Welfare,"Mr. Speaker, I rise today to present two petitions. The first is an electronic petition, e-1135.
 The petitioners are calling on the House of Commons to take note of the fact that Canada is the only G8 country without regulations dealing with animal testing. There are no enforceable rules or regulations for publicly funded facilities to ensure that animals used in research are humanely treated.
The petitioners are calling on the Minister of Justice to bring forward legislation that would ensure that Canada falls in line with other industrialized countries in requiring licensing and regulation of scientific laboratories, suppliers, and teaching centres where animals are used in live testing.",Green Party,Saanich—Gulf Islands,Elizabeth May,http://www.parl.gc.ca/Parliamentarians/en/members/elizabeth-may(224170)
4737716,ca.proc.d.2018-03-20.10013205,2018-03-20,eaa6694f-1e20-4aae-ad3b-e694b0e12c59,224170,"Ms. Elizabeth May (Saanich—Gulf Islands, GP)",,Routine Proceedings,Petitions,Shark Finning,"Mr. Speaker, the other petition is also from constituents of Saanich—Gulf Islands. They are particularly concerned with the issue of shark finning. Shark finning is not legal in Canadian waters, but the sale, distribution, and use of shark fins remains legal.
The petitioners call on the House of Commons assembled to take action to prevent the use, sale, and trade of shark fins to protect the species globally.",Green Party,Saanich—Gulf Islands,Elizabeth May,http://www.parl.gc.ca/Parliamentarians/en/members/elizabeth-may(224170)
4737717,ca.proc.d.2018-03-20.10012561,2018-03-20,3838746e-29a4-4a93-8239-a2b17a3b387f,218480,"Mr. Mark Warawa (Langley—Aldergrove, CPC)",,Routine Proceedings,Petitions,Sex Selection,"Mr. Speaker, I am honoured to present a petition on sex selection. 
The petitioners highlight that the three most dangerous words in the world are, “It's a girl”. The petitioners point out that, tragically, gender-based violence against girls begins even before they are born. They also point out that ending a pregnancy based on gender is discrimination. 
The petitioners are calling on Parliament to condemn the practice of discriminating against girls by the use of sex selection.",Conservative,Langley—Aldergrove,Mark Warawa,http://www.parl.gc.ca/Parliamentarians/en/members/mark-warawa(218480)
4737718,ca.proc.d.2018-03-20.10012570,2018-03-20,07cf5767-802c-406c-92a7-7dc92af79b40,229526,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Routine Proceedings,Questions on the Order Paper,,"Mr. Speaker, I would ask that all questions be allowed to stand.",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(229526)
