gender,state,vote_biden,age_group,education_level,stateicp
female,NC,0,age_30-44,Post sec +,north carolina
female,TX,1,age_45-59,Post sec +,texas
male,VA,0,age_60_or_more,Post sec +,virginia
female,NC,0,age_45-59,High school or less,north carolina
male,MA,0,age_30-44,Post sec +,massachusetts
male,MA,1,age_60_or_more,High school or less,massachusetts
female,GA,0,age_60_or_more,High school or less,georgia
female,DE,0,age_30-44,Some post sec,delaware
male,TX,0,age_45-59,Post sec +,texas
female,GA,0,age_45-59,Some post sec,georgia
female,IL,1,age_60_or_more,Post sec +,illinois
male,NY,0,age_30-44,Grad degree,new york
male,NY,0,age_30-44,Grad degree,new york
male,NY,0,age_45-59,Post sec +,new york
male,PA,1,age_60_or_more,Some post sec,pennsylvania
female,DE,1,age_18-29,Grad degree,delaware
male,SC,1,age_60_or_more,Post sec +,south carolina
male,NY,1,age_30-44,Grad degree,new york
female,OH,0,age_45-59,Post sec +,ohio
female,NY,1,age_30-44,Grad degree,new york
male,MO,0,age_45-59,Post sec +,missouri
male,AZ,0,age_45-59,Post sec +,arizona
male,WI,1,age_18-29,High school or less,wisconsin
male,FL,1,age_60_or_more,Post sec +,florida
male,CA,0,age_30-44,Grad degree,california
male,AZ,1,age_60_or_more,Post sec +,arizona
female,NJ,0,age_45-59,Post sec +,new jersey
male,ME,1,age_30-44,Some post sec,maine
female,LA,1,age_60_or_more,Post sec +,louisiana
female,VA,1,age_18-29,Post sec +,virginia
male,GA,1,age_45-59,High school or less,georgia
male,NY,1,age_18-29,Post sec +,new york
male,NC,1,age_30-44,Post sec +,north carolina
male,NY,0,age_30-44,Post sec +,new york
male,VA,1,age_60_or_more,High school or less,virginia
male,NJ,1,age_45-59,Post sec +,new jersey
male,FL,1,age_60_or_more,High school or less,florida
male,NJ,1,age_45-59,Some post sec,new jersey
female,NY,1,age_45-59,Grad degree,new york
male,MA,1,age_60_or_more,Post sec +,massachusetts
female,FL,1,age_18-29,High school or less,florida
female,CA,0,age_45-59,Post sec +,california
female,NY,1,age_45-59,Some post sec,new york
male,TX,1,age_30-44,Some post sec,texas
male,TX,0,age_60_or_more,Post sec +,texas
male,FL,1,age_60_or_more,High school or less,florida
male,SC,0,age_45-59,Post sec +,south carolina
male,PA,1,age_30-44,Post sec +,pennsylvania
male,TX,1,age_30-44,Post sec +,texas
male,GA,0,age_45-59,Post sec +,georgia
male,VA,0,age_60_or_more,High school or less,virginia
male,NC,0,age_60_or_more,Some post sec,north carolina
female,NJ,0,age_45-59,Some post sec,new jersey
female,IL,0,age_45-59,Post sec +,illinois
male,CA,1,age_30-44,Post sec +,california
male,FL,1,age_60_or_more,Grad degree,florida
male,NJ,1,age_60_or_more,Post sec +,new jersey
male,CA,1,age_45-59,Post sec +,california
male,MI,0,age_60_or_more,Some post sec,michigan
male,CT,0,age_60_or_more,Grad degree,connecticut
male,FL,0,age_45-59,High school or less,florida
male,OR,0,age_60_or_more,Some post sec,oregon
male,IN,1,age_45-59,Post sec +,indiana
male,MI,0,age_45-59,Grad degree,michigan
male,NJ,0,age_45-59,Grad degree,new jersey
male,MI,0,age_60_or_more,Some post sec,michigan
male,FL,0,age_60_or_more,Grad degree,florida
male,MN,0,age_60_or_more,Post sec +,minnesota
female,OR,1,age_60_or_more,High school or less,oregon
male,NY,0,age_30-44,Post sec +,new york
male,VA,1,age_60_or_more,High school or less,virginia
female,NY,1,age_45-59,Some post sec,new york
male,IL,0,age_30-44,High school or less,illinois
male,IN,0,age_60_or_more,High school or less,indiana
male,VA,0,age_45-59,Post sec +,virginia
male,CA,0,age_30-44,Post sec +,california
male,FL,0,age_45-59,Post sec +,florida
male,MI,1,age_60_or_more,Post sec +,michigan
male,FL,0,age_60_or_more,Post sec +,florida
female,TX,1,age_18-29,High school or less,texas
female,VA,1,age_18-29,High school or less,virginia
male,AZ,0,age_30-44,Some post sec,arizona
male,AZ,1,age_30-44,Post sec +,arizona
female,AZ,0,age_30-44,Post sec +,arizona
female,OH,1,age_30-44,Some post sec,ohio
female,TX,0,age_60_or_more,Some post sec,texas
female,FL,1,age_30-44,Post sec +,florida
male,NY,1,age_30-44,Grad degree,new york
male,TX,1,age_60_or_more,Post sec +,texas
male,PA,0,age_30-44,Some post sec,pennsylvania
female,OH,0,age_18-29,High school or less,ohio
female,FL,1,age_60_or_more,Post sec +,florida
male,SC,1,age_60_or_more,Some post sec,south carolina
male,VA,1,age_18-29,Grad degree,virginia
female,NY,0,age_30-44,High school or less,new york
male,NY,0,age_60_or_more,Post sec +,new york
female,OH,1,age_30-44,Post sec +,ohio
male,NJ,0,age_45-59,Post sec +,new jersey
female,FL,1,age_60_or_more,Post sec +,florida
female,FL,0,age_30-44,Post sec +,florida
female,CA,1,age_18-29,Some post sec,california
female,NY,1,age_45-59,Post sec +,new york
female,PA,1,age_30-44,Post sec +,pennsylvania
female,WI,1,age_30-44,High school or less,wisconsin
female,NJ,0,age_45-59,Some post sec,new jersey
female,CA,0,age_60_or_more,Grad degree,california
male,MI,0,age_30-44,Grad degree,michigan
female,NY,1,age_30-44,Post sec +,new york
female,FL,0,age_60_or_more,Post sec +,florida
male,IL,0,age_60_or_more,Some post sec,illinois
female,CA,1,age_18-29,Post sec +,california
female,MD,1,age_30-44,High school or less,maryland
male,TN,0,age_60_or_more,Post sec +,tennessee
female,CA,1,age_60_or_more,Some post sec,california
male,IL,0,age_30-44,Grad degree,illinois
female,GA,1,age_18-29,High school or less,georgia
male,MI,0,age_45-59,High school or less,michigan
male,MI,1,age_18-29,Post sec +,michigan
male,MI,0,age_60_or_more,Some post sec,michigan
male,CA,1,age_60_or_more,Post sec +,california
female,NJ,0,age_30-44,Post sec +,new jersey
male,IN,0,age_30-44,High school or less,indiana
female,FL,1,age_60_or_more,Post sec +,florida
female,WI,0,age_45-59,Grad degree,wisconsin
male,NY,1,age_60_or_more,Post sec +,new york
male,SC,0,age_18-29,Post sec +,south carolina
male,IN,1,age_60_or_more,High school or less,indiana
male,TX,0,age_30-44,Post sec +,texas
male,AL,1,age_60_or_more,Grad degree,alabama
male,WV,0,age_45-59,High school or less,west virginia
female,MO,1,age_60_or_more,Grad degree,missouri
male,NJ,0,age_45-59,Post sec +,new jersey
female,AZ,0,age_60_or_more,Some post sec,arizona
female,IA,1,age_18-29,Some post sec,iowa
male,OH,0,age_45-59,Some post sec,ohio
male,ID,0,age_60_or_more,Some post sec,idaho
male,NY,1,age_60_or_more,High school or less,new york
male,OR,0,age_45-59,Some post sec,oregon
male,CO,0,age_30-44,Some post sec,colorado
male,FL,0,age_60_or_more,Post sec +,florida
male,AL,0,age_60_or_more,Post sec +,alabama
male,TX,0,age_45-59,Post sec +,texas
male,NY,1,age_45-59,Post sec +,new york
female,OR,1,age_30-44,Some post sec,oregon
male,AZ,0,age_45-59,Post sec +,arizona
female,CA,0,age_45-59,Post sec +,california
female,NC,0,age_45-59,Post sec +,north carolina
female,NJ,0,age_18-29,Some post sec,new jersey
male,NY,0,age_60_or_more,Some post sec,new york
male,OH,0,age_45-59,Post sec +,ohio
male,AZ,0,age_60_or_more,Post sec +,arizona
male,MN,0,age_30-44,Post sec +,minnesota
male,OH,0,age_60_or_more,Some post sec,ohio
male,NY,1,age_60_or_more,High school or less,new york
male,WI,1,age_60_or_more,Grad degree,wisconsin
male,LA,0,age_30-44,High school or less,louisiana
female,FL,1,age_18-29,High school or less,florida
male,MI,0,age_45-59,Some post sec,michigan
male,NY,0,age_60_or_more,Some post sec,new york
male,MT,1,age_60_or_more,Grad degree,montana
male,SC,0,age_45-59,Some post sec,south carolina
male,MI,0,age_60_or_more,Post sec +,michigan
female,NY,0,age_45-59,Post sec +,new york
female,NC,0,age_45-59,Some post sec,north carolina
male,CA,0,age_30-44,Post sec +,california
female,OH,1,age_60_or_more,High school or less,ohio
male,TX,1,age_30-44,Post sec +,texas
male,WA,1,age_45-59,Some post sec,washington
male,VT,1,age_45-59,High school or less,vermont
female,TX,1,age_60_or_more,Post sec +,texas
