date
"2017-02-01"
"2017-03-01"
"2017-04-01"
"2017-05-01"
"2017-06-01"
"2017-07-01"
"2017-08-01"
"2017-09-01"
"2017-10-01"
"2017-11-01"
"2017-12-01"
"2017-01-02"
"2017-03-02"
"2017-04-02"
"2017-05-02"
"2017-06-02"
"2017-07-02"
"2017-08-02"
"2017-09-02"
"2017-10-02"
"2017-11-02"
"2017-12-02"
"2017-01-03"
"2017-02-03"
"2017-04-03"
"2017-05-03"
"2017-06-03"
"2017-07-03"
"2017-08-03"
"2017-09-03"
"2017-10-03"
"2017-11-03"
"2017-12-03"
"2017-01-04"
"2017-02-04"
"2017-03-04"
"2017-05-04"
"2017-06-04"
"2017-07-04"
"2017-08-04"
"2017-09-04"
"2017-10-04"
"2017-11-04"
"2017-12-04"
"2017-01-05"
"2017-02-05"
"2017-03-05"
"2017-04-05"
"2017-06-05"
"2017-07-05"
"2017-08-05"
"2017-09-05"
"2017-10-05"
"2017-11-05"
"2017-12-05"
"2017-01-06"
"2017-02-06"
"2017-03-06"
"2017-04-06"
"2017-05-06"
"2017-07-06"
"2017-08-06"
"2017-09-06"
"2017-10-06"
"2017-11-06"
"2017-12-06"
"2017-01-07"
"2017-02-07"
"2017-03-07"
"2017-04-07"
"2017-05-07"
"2017-06-07"
"2017-08-07"
"2017-09-07"
"2017-10-07"
"2017-11-07"
"2017-12-07"
"2017-01-08"
"2017-02-08"
"2017-03-08"
"2017-04-08"
"2017-05-08"
"2017-06-08"
"2017-07-08"
"2017-09-08"
"2017-10-08"
"2017-11-08"
"2017-12-08"
"2017-01-09"
"2017-02-09"
"2017-03-09"
"2017-04-09"
"2017-05-09"
"2017-06-09"
"2017-07-09"
"2017-08-09"
"2017-10-09"
"2017-11-09"
"2017-12-09"
"2017-01-10"
"2017-02-10"
"2017-03-10"
"2017-04-10"
"2017-05-10"
"2017-06-10"
"2017-07-10"
"2017-08-10"
"2017-09-10"
"2017-11-10"
"2017-12-10"
"2017-01-11"
"2017-02-11"
"2017-03-11"
"2017-04-11"
"2017-05-11"
"2017-06-11"
"2017-07-11"
"2017-08-11"
"2017-09-11"
"2017-10-11"
"2017-12-11"
"2017-01-12"
"2017-02-12"
"2017-03-12"
"2017-04-12"
"2017-05-12"
"2017-06-12"
"2017-07-12"
"2017-08-12"
"2017-09-12"
"2017-10-12"
"2017-11-12"
