gutenberg_id,text,title
11,ALICE'S ADVENTURES IN WONDERLAND,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,Lewis Carroll,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,THE MILLENNIUM FULCRUM EDITION 3.0,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,CHAPTER I. Down the Rabbit-Hole,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,Alice was beginning to get very tired of sitting by her sister on the,Alice's Adventures in Wonderland
11,"bank, and of having nothing to do: once or twice she had peeped into the",Alice's Adventures in Wonderland
11,"book her sister was reading, but it had no pictures or conversations in",Alice's Adventures in Wonderland
11,"it, 'and what is the use of a book,' thought Alice 'without pictures or",Alice's Adventures in Wonderland
11,conversations?',Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,"So she was considering in her own mind (as well as she could, for the",Alice's Adventures in Wonderland
11,"hot day made her feel very sleepy and stupid), whether the pleasure",Alice's Adventures in Wonderland
11,of making a daisy-chain would be worth the trouble of getting up and,Alice's Adventures in Wonderland
11,"picking the daisies, when suddenly a White Rabbit with pink eyes ran",Alice's Adventures in Wonderland
11,close by her.,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,There was nothing so VERY remarkable in that; nor did Alice think it so,Alice's Adventures in Wonderland
11,"VERY much out of the way to hear the Rabbit say to itself, 'Oh dear!",Alice's Adventures in Wonderland
11,"Oh dear! I shall be late!' (when she thought it over afterwards, it",Alice's Adventures in Wonderland
11,"occurred to her that she ought to have wondered at this, but at the time",Alice's Adventures in Wonderland
11,it all seemed quite natural); but when the Rabbit actually TOOK A WATCH,Alice's Adventures in Wonderland
11,"OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on,",Alice's Adventures in Wonderland
11,"Alice started to her feet, for it flashed across her mind that she had",Alice's Adventures in Wonderland
11,"never before seen a rabbit with either a waistcoat-pocket, or a watch",Alice's Adventures in Wonderland
11,"to take out of it, and burning with curiosity, she ran across the field",Alice's Adventures in Wonderland
11,"after it, and fortunately was just in time to see it pop down a large",Alice's Adventures in Wonderland
11,rabbit-hole under the hedge.,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,"In another moment down went Alice after it, never once considering how",Alice's Adventures in Wonderland
11,in the world she was to get out again.,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,"The rabbit-hole went straight on like a tunnel for some way, and then",Alice's Adventures in Wonderland
11,"dipped suddenly down, so suddenly that Alice had not a moment to think",Alice's Adventures in Wonderland
11,about stopping herself before she found herself falling down a very deep,Alice's Adventures in Wonderland
11,well.,Alice's Adventures in Wonderland
11,,Alice's Adventures in Wonderland
11,"Either the well was very deep, or she fell very slowly, for she had",Alice's Adventures in Wonderland
11,plenty of time as she went down to look about her and to wonder what was,Alice's Adventures in Wonderland
11,"going to happen next. First, she tried to look down and make out what",Alice's Adventures in Wonderland
