basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4761257,ca.proc.d.2018-11-20.10380404,2018-11-20,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Auditor General of Canada,,"I have the honour to lay upon the table the fall 2018 reports of the Auditor General of Canada.
Pursuant to Standing Order 108(3)(g), these documents are deemed to have been permanently referred to the Standing Committee on Public Accounts.",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4761258,ca.proc.d.2018-11-20.10380428,2018-11-20,07cf5767-802c-406c-92a7-7dc92af79b40,229526,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Routine Proceedings,Government Response to Petitions,,"Mr. Speaker, pursuant to Standing Order 36(8) I have the honour to table, in both official languages, the government's response to two petitions.",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(229526)
4761259,ca.proc.d.2018-11-20.10380185,2018-11-20,c5d87175-ce3a-486e-a9b3-827145422791,219800,"Mr. Terry Sheehan (Sault Ste. Marie, Lib.)",,Routine Proceedings,Interparliamentary Delegations,,"Mr. Speaker, pursuant to Standing Order 34(1) I have the honour to present to the House, in both official languages, a report by the Canadian parliamentary delegation of the Canada-China Legislative Association and the Canada-Japan Inter-Parliamentary Group respecting its participation in the 26th annual meeting of the Asia-Pacific Parliamentary Forum held in Hanoi, Vietnam, from January 18 to 21.",Liberal,Sault Ste. Marie,Terry Sheehan,http://www.parl.gc.ca/Parliamentarians/en/members/terry-sheehan(219800)
4761260,ca.proc.d.2018-11-20.10380194,2018-11-20,b41c3b7e-c64f-4415-9f58-79d7462e5d8e,237464,"Mr. Peter Julian (New Westminster—Burnaby, NDP)",,Routine Proceedings,Petitions,Children's Rights,"Mr. Speaker, it is my pleasure to table a petition today, with more than 1,000 signatures, which joins the over 5,000 signatures received in the House so far and over 500 signatures received online, on the issue of children's rights in Canada. 
Today is Universal Children's Day, and Canada has signed the United Nations Convention on the Rights of the Child. However, a number of government programs, including housing first and the Canada child benefit do not apply equally to all children across the country. Children who are in marginalized situations, with homeless or incarcerated parents, do not have access to the same programs.
 Therefore, on behalf of these many constituents and the Elizabeth Fry Society, I table this petition today. ",New Democratic Party,New Westminster—Burnaby,Peter Julian,http://www.parl.gc.ca/Parliamentarians/en/members/peter-julian(237464)
4761261,ca.proc.d.2018-11-20.10380213,2018-11-20,53eb10e4-f8e7-4ef7-9448-b4a10ec1dba3,216366,"Mrs. Cathay Wagantall (Yorkton—Melville, CPC)",,Routine Proceedings,Petitions,Round Lake,"Mr. Speaker, I present today two petitions on behalf of constituents, directed to the Minister of Crown-Indigenous Relations. 
The petitioners have an issue with water in one of our lakes, which is causing fish to die. It is a very bad scenario. They are asking the minister to use her authority to re-establish communication with the Ochapowace and Piapot First Nations to work toward a resolution in the matter of low water levels in Round Lake, Saskatchewan. ",Conservative,Yorkton—Melville,Cathay Wagantall,http://www.parl.gc.ca/Parliamentarians/en/members/cathay-wagantall(216366)
4761262,ca.proc.d.2018-11-20.10380229,2018-11-20,9e05a099-6a0b-4fe2-9e9b-0a8b91b7807b,214054,"Ms. Monique Pauzé (Repentigny, BQ)",,Routine Proceedings,Petitions,Human Trafficking,"Mr. Speaker, I have the honour to table petition e-1673 on behalf of the Association féminine d'éducation et d'action sociale, better known as Afeas. The petition was signed by 639 people, and more signatures will soon be arriving on paper. This petition calls on the government to sign the order to bring into force Bill C-452, which seeks to combat human trafficking and sexual exploitation. 
We are losing precious time. The bill was passed unanimously and has already received royal assent. Other petitions on this subject have been circulated over the past three and a half years, and the Quebec National Assembly passed a unanimous motion in this regard.
How long will it take and how many young girls will have to become victims before the Prime Minister signs the petition?
The purpose of the petition is to get the government to sign the order to protect teenage girls from criminal prostitution rings.",Bloc Québécois,Repentigny,Monique Pauzé,http://www.parl.gc.ca/Parliamentarians/en/members/monique-pauze(214054)
4761263,ca.proc.d.2018-11-20.10380234,2018-11-20,b6e2c8aa-fc83-4d52-ad66-7910b8805f90,216881,"Mr. Arnold Viersen (Peace River—Westlock, CPC)",,Routine Proceedings,Petitions,Human Organ Trafficking,"Mr. Speaker, I have the honour to table a petition once again, recognizing the scourge of human organ trafficking. The petitioners are looking for quick passage of Bill C-350 and Bill S-240. ",Conservative,Peace River—Westlock,Arnold Viersen,http://www.parl.gc.ca/Parliamentarians/en/members/arnold-viersen(216881)
4761264,ca.proc.d.2018-11-20.10380243,2018-11-20,c5b09363-414d-43b2-bc2c-274b997c8989,217143,"Ms. Jenny Kwan (Vancouver East, NDP)",,Routine Proceedings,Petitions,Children's Rights,"Mr. Speaker, I have two petitions to table today.
The first petition was initiated by the Elizabeth Fry Society, which has done tremendous work in our community. The petitioners ask the House to recognize the UN Convention of the Rights of the Child, to which Canada is signatory. 
The petitioners call on the Government of Canada to meet the standards of the UN Convention on the Rights of the Child and recognize that there are barriers within its own direct payments to family systems and remedies that fund services, like the homelessness partnering strategy; that it provide funding for client support for children; that it provide Canada child benefits and child special allowances for all children; that it set standards within Canada's social transfer to ensure that all children, without discrimination of any form, benefit from special protection measures in assistance; and that it recognize children of parents with addictions and homeless children in need of special support to enable them to achieve improved life outcomes and receive equal benefits to their rights under the UN Convention of the Rights of the Child. ",New Democratic Party,Vancouver East,Jenny Kwan,http://www.parl.gc.ca/Parliamentarians/en/members/jenny-kwan(217143)
4761265,ca.proc.d.2018-11-20.10380267,2018-11-20,c5b09363-414d-43b2-bc2c-274b997c8989,217143,"Ms. Jenny Kwan (Vancouver East, NDP)",,Routine Proceedings,Petitions,Safe Third Country Agreement,"Mr. Speaker, the second petition has 1,596 signatures and calls upon the government to note that the safe third country agreement states that only countries that respect human rights and offer a high degree of protection to asylum seekers may be designated as a safe third country.
 The petitioners state that the President of the United States has purposely and premeditatedly adopted practices such as a Muslim travel ban, has forcibly separated children from their parents who were seeking asylum. They also state that the United States no longer recognizes domestic violence or gang violence as a legitimate reason for asylum; that it has adopted a zero tolerance policy designating all irregular crossers claiming asylum as having committed a criminal act subject to prosecution; and that under the Donald Trump administration, it has demonstrated it will continue to ignore international human rights and refugee laws.
 The petitioners therefore call upon the government to suspend the safe third country agreement.",New Democratic Party,Vancouver East,Jenny Kwan,http://www.parl.gc.ca/Parliamentarians/en/members/jenny-kwan(217143)
4761266,ca.proc.d.2018-11-20.10380277,2018-11-20,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Petitions,Safe Third Country Agreement,"I want to remind hon. members that presenting petitions is the time to give a succinct summary of what the petitioners are calling for and not to read the entire petition or engage in debate on the subject.
The hon member for Saanich—Gulf Islands.",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
