basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4745258,ca.proc.d.2018-05-23.10142848,2018-05-23,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,,,,"It being Wednesday, we will now have the singing of O Canada, led by the hon. member for Red Deer—Lacombe.
 [Members sang the national anthem]  ",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4745259,ca.proc.d.2018-05-23.10142856,2018-05-23,9e05a099-6a0b-4fe2-9e9b-0a8b91b7807b,214054,"Ms. Monique Pauzé (Repentigny, GPQ)",,Statements By Members,Federal-Provincial Relations,,"Mr. Speaker, certain parties have taken a sudden interest in defending Quebec's interests lately, but when it is time to actually do something in Parliament, they are nowhere to be found.
Quebec has the strictest environmental laws. That is why we insist that our laws take precedence when Ottawa decides to get involved in our affairs. That is exactly what I proposed in committee yesterday, but all the parties voted against my proposal because, whenever the three federalist parties have to choose between Quebec's interests and Canada's, they always choose Canada and hang Quebec out to dry.
All of the parties voted against measures that would protect Quebec if ever energy east were to resurface. They also voted against measures that would protect British Columbia from being forced to accept Trans Mountain. There is going to be a demonstration in Montreal on Sunday. I invite everyone to join me in sending a message to our elected representatives that it is up to Quebec and the provinces to decide what happens within their borders.",GPQ (ex-Bloc),Repentigny,Monique Pauzé,http://www.parl.gc.ca/Parliamentarians/en/members/monique-pauze(214054)
4745260,ca.proc.d.2018-05-23.10142859,2018-05-23,f60ef5d8-8e71-4953-bc1b-a8ea4749a18e,235608,"Mr. Michel Picard (Montarville, Lib.)",,Statements By Members,Kurling for Kids,,"Mr. Speaker, kids are the future.
Kurling for Kids was founded in 1999, through the generosity of Robert Sears, who wanted to give back to the hospital that had saved his daughter's life.
Since then, a number of curling clubs across Quebec have been holding events to raise money to support children's hospitals.
I am very proud to rise in the House today to announce that Curling Mont-Bruno raised $20,000 at a Kurling for Kids event on April 7.
More than $400,000 has been raised across Quebec in 2018 and donated to the CHU Sainte-Justine Foundation and the Montreal Children's Hospital Foundation.
I want to take a moment to thank partners across Quebec, including Curling Mont-Bruno, for their dedication to and love for our children.",Liberal,Montarville,Michel Picard,http://www.parl.gc.ca/Parliamentarians/en/members/michel-picard(235608)
4745261,ca.proc.d.2018-05-23.10142862,2018-05-23,53eb10e4-f8e7-4ef7-9448-b4a10ec1dba3,216366,"Mrs. Cathay Wagantall (Yorkton—Melville, CPC)",,Statements By Members,Yorkton Film Festival,,"Mr. Speaker, it is my honour to rise in the House today to praise and bring attention in this place to the upcoming Yorkton Film Festival. The Yorkton Film Festival is the longest-running film festival in North America. It was established in 1947. This will be its 71st year of celebrating short films. In 1956, it instituted the Golden Sheaf Awards. Filmmakers originating from the Netherlands, India, Sweden, New Zealand, the United Kingdom, Norway, France, and the United States have all competed for our Canadian prize.
 It surprises many that Yorkton, a small city of 16,000-plus people in the heart of Saskatchewan, has managed to continually pull off one of the most prominent film festivals in the world with class and perfection, but it is not a surprise to me. I am honoured to be presenting the Golden Sheaf Telefilm award at the Yorkton Film Festival red carpet dinner this coming Saturday evening. ",Conservative,Yorkton—Melville,Cathay Wagantall,http://www.parl.gc.ca/Parliamentarians/en/members/cathay-wagantall(216366)
4745262,ca.proc.d.2018-05-23.10142866,2018-05-23,8942c6f2-bfc8-4275-97bb-a5086a07138e,239942,"Mr. Gagan Sikand (Mississauga—Streetsville, Lib.)",,Statements By Members,Streetsville Lions Club,,"Mr. Speaker, I rise today to give special recognition to an incredible community organization. The Streetsville Lions Club is a community-based group of volunteers chartered by Lions Clubs International. Founded in 1952, the Lions meet the needs of local communities and the world every day, because they share a core belief: to serve their communities. 
The club organizes and assists with implementing a number of events in the Streetsville community. On May 10, the club sponsored a dinner event to show its appreciation for its volunteers. I was disappointed that I could not share in the celebrations. Therefore, please allow me to use my time here in the House to express my gratitude and support for the Streetsville Lions Club and to congratulate and thank the wonderful people who volunteer to make our community better every single day.",Liberal,Mississauga—Streetsville,Gagan Sikand,http://www.parl.gc.ca/Parliamentarians/en/members/gagan-sikand(239942)
4745263,ca.proc.d.2018-05-23.10142869,2018-05-23,95ed53a7-7538-4c0f-85a4-64af76065f95,218942,"Mr. Don Davies (Vancouver Kingsway, NDP)",,Statements By Members,Foreign Affairs,,"Mr. Speaker, this year marks the 30th anniversary of the Karabakh movement, a monumental event for the global Armenian community. In 1991, the people of Artsakh declared independence from the Soviet Union and their aspiration for a Nagorno-Karabakh republic. The region's residents, primarily ethnically Armenian, then held a referendum in which 82% of all voters participated, and 99% voted for independence. Unfortunately, war then broke out between Azerbaijan and Armenia. Despite a 1994 ceasefire, long-term peace and a durable political solution have been absent. Since 2016, innocent lives have been lost on an almost daily basis.
 This House must affirm our commitment to the protection and human rights of civilians and call on all parties to strictly adhere to the terms of the ceasefire. More fundamentally, we call on the Canadian government to work for a just solution to this conflict, one that conforms with international law and is built on the inalienable right of the people of Nagorno-Karabakh to self-determination.",New Democratic Party,Vancouver Kingsway,Don Davies,http://www.parl.gc.ca/Parliamentarians/en/members/don-davies(218942)
4745264,ca.proc.d.2018-05-23.10142872,2018-05-23,00000000-0000-0000-0000-000000000000,236943,"Ms. Jean Yip (Scarborough—Agincourt, Lib.)",,Statements By Members,Armenia,,"Mr. Speaker, the first Republic of Armenia was established 100 years ago.
Its emergence on May 28, 1918, provided hope to thousands of refugees and a home to the Armenian people in the wake of the Armenian genocide. For the first time since 1375, the Armenian people could lay claim to a country of their own. 
Only two years after its founding in 1918, Armenia was invaded by the Soviet Union, leaving its people, who had so recently achieved their freedom, once again without their own nation. With the collapse of the Soviet Union in September 1991, Armenia regained its independence and remains free to this day. 
This year, during the month of May, Canadians of Armenian background and communities around the world will celebrate this milestone and remember the sacrifices made by the Armenian people.",Liberal,Scarborough—Agincourt,Jean Yip,http://www.parl.gc.ca/Parliamentarians/en/members/jean-yip(236943)
4745265,ca.proc.d.2018-05-23.10142875,2018-05-23,b6850f16-57dc-486c-b5bb-0fd191022af4,216935,"Mr. Garnett Genuis (Sherwood Park—Fort Saskatchewan, CPC)",,Statements By Members,Crimean Tatars,,"Mr. Speaker, this week I had the honour of speaking at an event hosted with the Munk School of Global Affairs, in Toronto, highlighting the desperate plight of Crimean Tatars in Russian-occupied Ukraine. This event featured a presentation by Crimean Tatar leader Mr. Mustafa Dzhemilev as well as a number of academics. I would like to salute the courageous advocacy of the Crimean Tatar community, as well as the Ukrainian community and the Ukrainian government, which have stood with it. The Embassy of Ukraine in Canada co-hosted this event.
 Ukraine provides a home to people from a range of different cultural backgrounds. The Kremlin, by contrast, imposes its brutal will on all those within its empire. 
The ongoing abuse of Crimean Tatars is one of many under-discussed human rights issues highlighting the brokenness of our international system. Powerful autocrats like Putin undertake human rights abuses themselves and defend abuses by smaller client states. There is no effective enforcement of international human rights. If anything, capacity for enforcement is declining. 
For the sake of Crimean Tatars, other Ukrainians in occupied areas, and all other victims around the world, we must face up to the brokenness of our international system and do more to fix it.",Conservative,Sherwood Park—Fort Saskatchewan,Garnett Genuis,http://www.parl.gc.ca/Parliamentarians/en/members/garnett-genuis(216935)
4745266,ca.proc.d.2018-05-23.10142879,2018-05-23,6fa03d6c-bbe7-4e72-b1de-3f877b6bcb02,234550,"Mr. Rodger Cuzner (Cape Breton—Canso, Lib.)",,Statements By Members,Public Service Congratulations,,"Mr. Speaker, as parliamentarians, we are unanimous in recognizing and respecting the hard work of our committed staff members, regardless of party affiliation. Long hours, tough files, complex issues being dealt with in an intense and public forum is a typical day at the office for a Hill staffer.
 I rise today to recognize a friend and colleague, who first arrived on Parliament Hill twenty years ago today. Bright-eyed and bushy-headed, Jamie Innes came from his native New Brunswick heeding the call to public service. From the government side to the opposition side and back to the government side, Jamie has worked for MPs and been a trusted adviser to various ministers, and he played a critical role in the House leader's office back in the opposition days. His hard work, patience, and integrity have earned him the friendship and respect of his peers, and his sharp political instincts have yielded great equity in his advice. 
 Twenty years later, his hair is a little thinner, his skin is a bit thicker, but he still has that passion for public service, and that remains constant. For two decades of service to this place, join me in congratulating our friend, Jamie Innes.",Liberal,Cape Breton—Canso,Rodger Cuzner,http://www.parl.gc.ca/Parliamentarians/en/members/rodger-cuzner(234550)
4745267,ca.proc.d.2018-05-23.10142884,2018-05-23,b793930e-6fb6-449d-bc33-1c9575def1a9,234493,"Ms. Anju Dhillon (Dorval—Lachine—LaSalle, Lib.)",,Statements By Members,Political Science Students,,"Mr. Speaker, I rise today to extend a warm welcome to 25 students from the University of Michigan who will be spending the next month on the Hill. As part of their political science summer course, these students will have the opportunity to learn and experience how our Parliament operates by working in our offices on the Hill, meeting dignitaries, and exploring life and culture in Canada. It is an honour and a pleasure to see so many talented young people with an interest in politics.
Beyond providing the opportunity to learn more about Canadian politics and parliamentary affairs, the program also promotes a positive exchange between Canada and the United States. I know that this chamber will show these students that politics can indeed be a positive thing.
 I wholeheartedly wish them all the best in their endeavours here in Ottawa and beyond.",Liberal,Dorval—Lachine—LaSalle,Anju Dhillon,http://www.parl.gc.ca/Parliamentarians/en/members/anju-dhillon(234493)
4745268,ca.proc.d.2018-05-23.10142889,2018-05-23,fa2cbab8-f429-402f-b603-ea918add87c3,234510,"Mr. Kevin Waugh (Saskatoon—Grasswood, CPC)",,Statements By Members,Justice System,,"Mr. Speaker, as we approach the 13th annual Victims and Survivors of Crime Week, which gets under way this Sunday, we must acknowledge the struggles of families that are still waiting to get justice as a result of unacceptable delays in our judicial system. 
Dwayne Demkiw, of Alberta, was murdered in May 2015. However, his family, which lives in Saskatoon, is being forced to wait until 2019 for his accused murderer to stand trial.
 As of May 4, there are still many judicial vacancies on Alberta's Court of Queen's Bench alone, and there are well over 50 judicial vacancies across this country. These vacancies do nothing but cause further hurt for victims of crime, such as the Demkiw family.
 There is no excuse for this government to allow these vacancies to be left unfilled, and there is no excuse for victims of crime being denied justice.",Conservative,Saskatoon—Grasswood,Kevin Waugh,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-waugh(234510)
4745269,ca.proc.d.2018-05-23.10142893,2018-05-23,ea3bdfb2-c01b-4b31-937f-51fafc045172,214023,"Mr. Fayçal El-Khoury (Laval—Les Îles, Lib.)",,Statements By Members,Climate Change Champion,,"Mr. Speaker, Michael Haddad is a Lebanon UNDP climate change champion.
 Today, he is with us, as he has travelled to Canada to walk 100 kilometres to the North Pole. Completely paralysed from the chest down since the age of six, Michael is going to take up this challenge for humanity in order to raise awareness about climate change around the world. Why the North Pole? We are all aware that this region is changing as a result of the accelerated melting of ice.
Moreover, prime scientific institutions are coordinating to introduce to the world this scientific challenge, endorsed by the United Nations, as making Michael walk to the North Pole is exactly like putting a person to walk on the moon.
Thank you to Michael, who is the epitome of courage.",Liberal,Laval—Les Îles,Fayçal El-Khoury,http://www.parl.gc.ca/Parliamentarians/en/members/faycal-el-khoury(214023)
4745270,ca.proc.d.2018-05-23.10142897,2018-05-23,014bf6ed-9176-4fbd-8f35-48bb8c579ff0,234768,"Mr. Robert Oliphant (Don Valley West, Lib.)",,Statements By Members,Youth Addictions and Mental Health,,"Mr. Speaker, last week, I had the honour of holding a consultation on youth, addictions, and mental health at the Bellwood Health Services rehab centre in Don Valley West.
There were 25 stakeholders at this town hall including young people with addictions, professionals, as well as community associations. Most adults with mental health problems say that the first symptoms arose during adolescence. However, only one in four youth gets the care they need. The stigma around mental health and addictions continues to be a serious problem, which is why we have to talk about it.
I want to thank everyone who took part in this town hall. Together, we will continue to find innovative solutions to help our young people.",Liberal,Don Valley West,Rob Oliphant,http://www.parl.gc.ca/Parliamentarians/en/members/rob-oliphant(234768)
4745271,ca.proc.d.2018-05-23.10142909,2018-05-23,AD6E8838-A6D5-4D6D-94F7-25180A163C59,234363,"Mr. Glen Motz (Medicine Hat—Cardston—Warner, CPC)",,Statements By Members,Natural Gas-Generated Electricity,,"Mr. Speaker, the City of Medicine Hat is able to provide affordable, stable natural gas-generated electricity to residents and industry. 
In the past several months, the city has announced new investments worth hundreds of millions of dollars by companies coming to our city, in part because of the availability of reliable electricity. These two companies combined will have a daily electrical demand of up to 80 megawatts, provide nearly 500 permanent jobs to our community, and help us grow and diversify our economy.
Natural gas-generated electricity is a viable and clean source of energy. Natural gas will be there when the sun does not shine and the wind does not blow. The City of Medicine Hat has recognized the need to provide a favourable investment climate that will ensure continued growth in natural gas-fired electricity. Lower energy costs have resulted in Medicine Hat growing its economy and creating jobs while reducing emissions, all without a new tax.
I invite the Minister of Environment to visit my city and see how we can move economy and environment forward without a carbon tax.",Conservative,Medicine Hat—Cardston—Warner,Glen Motz,http://www.parl.gc.ca/Parliamentarians/en/members/glen-motz(234363)
4745272,ca.proc.d.2018-05-23.10142912,2018-05-23,b4442fcd-62cf-456e-a49b-625ea35069b5,219808,"Mr. Lloyd Longfield (Guelph, Lib.)",,Statements By Members,Mental Health,,"Mr. Speaker, it is every Canadian's responsibility to promote mental wellness in our communities.
I am proud to inform the House that I recently held a town hall on mental health here in Ottawa, and another in my riding of Guelph.
These two events provided me with a unique opportunity to consult with mental health experts, service providers, and, most importantly, my constituents.
Canadians deeply care for each other's mental health, and together we can develop innovative and collaborative community-based programs to help those who are suffering.
I am confident that there is a role for members in the House to make a positive difference for Canadians, leveraging the unprecedented investment funds available to build healthy, compassionate, and resilient communities.",Liberal,Guelph,Lloyd Longfield,http://www.parl.gc.ca/Parliamentarians/en/members/lloyd-longfield(219808)
4745273,ca.proc.d.2018-05-23.10142915,2018-05-23,f40d602c-1ae6-414e-bac3-23a2f31f1cdf,224989,"Ms. Linda Duncan (Edmonton Strathcona, NDP)",,Statements By Members,Nuclear Disarmament,,"Mr. Speaker, May 24 is International Women's Day for Peace and Disarmament, a day when women legislators jointly express their deep concern about the existential threats to humanity and the environment from climate change, nuclear weapons, and unresolved international conflicts, in particular those between nuclear-reliant nations.
Tomorrow, UN Secretary-General António Guterres will call on governments, parliaments, and civil society to take action to end the threat of nuclear war.
I have joined other women parliamentarians in expressing support for the UN General Assembly's decision for a high-level conference on disarmament to advance effective measures to build a framework for a nuclear weapon-free world. As women representatives, we are proud of our home countries and our national identities, but we also recognize a common humanity. We recognize the need to collaborate in building a peaceful, secure, sustainable, and just world.
I invite my fellow Canadian women legislators to join me in supporting this initiative for peace.",New Democratic Party,Edmonton Strathcona,Linda Duncan,http://www.parl.gc.ca/Parliamentarians/en/members/linda-duncan(224989)
4745274,ca.proc.d.2018-05-23.10142920,2018-05-23,ff7a7f13-0558-4282-8cfc-9bfdfcbf6a1a,216774,"Mr. Michael Cooper (St. Albert—Edmonton, CPC)",,Statements By Members,Justice,,"Mr. Speaker, time and again, the government has turned its back on victims, from opposing mandatory sentences to failing to appoint a victims ombudsman after six months. Now the government is watering down sentences with Bill C-75. Bill C-75 makes serious indictable offences prosecutable by way of summary conviction. As a result, serious offences, including participating in a terrorist organization, kidnapping a minor, and impaired driving causing bodily harm, can be punishable with a mere fine.
There can be no justice for victims when terrorists, kidnappers, and impaired drivers are able to walk away scot-free. Bill C-75 is an absolute travesty. Victims of crime deserve better than the Liberal government.",Conservative,St. Albert—Edmonton,Michael Cooper,http://www.parl.gc.ca/Parliamentarians/en/members/michael-cooper(216774)
4745275,ca.proc.d.2018-05-23.10142923,2018-05-23,3378437f-1669-4fcb-9c2e-0c7c12626a1e,219102,"Mrs. Deborah Schulte (King—Vaughan, Lib.)",,Statements By Members,Food Banks,,"Mr. Speaker, today marks the launch of representatives against hunger, a Food Banks Canada initiative in which elected representatives are asked to raise awareness about hunger in their communities.
 Every day, food banks across the country work hard to raise the food and funds necessary to assist over 860,000 people. There are three exceptional food banks in King Township and Vaughan, which provide crucial, compassionate service and bring our neighbourhoods together to help fight local hunger. They are the King Township Food Bank, run by Carol Ann Trabert; the Humanity First Food Bank in Concord, run by Dr. Aslam Daud; and the Vaughan Food Bank, run by Peter Wixson. Behind these individuals are teams of dedicated volunteers and donors, working tirelessly to support the less fortunate in our communities.
 I encourage my colleagues to develop strong relationships with their local food banks, even fast for a day to experience what it is like not to have enough to eat. I want my colleagues to take this important conversation online using the hashtag #RepsAgainstHunger. 
My hope, and the hope of Food Banks Canada, is that hunger in this country will be eliminated and one day we will no— ",Liberal,King—Vaughan,Deb Schulte,http://www.parl.gc.ca/Parliamentarians/en/members/deb-schulte(219102)
4745276,ca.proc.d.2018-05-23.10142926,2018-05-23,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Statements By Members,Food Banks,,"Oral questions.
The hon. Leader of the Opposition.",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4745277,ca.proc.d.2018-05-23.10142930,2018-05-23,6519cfba-0080-419d-baa9-8ae6e56d032f,232946,"Hon. Andrew Scheer (Leader of the Opposition, CPC)",,Oral Questions,Democratic Reform,,"Mr. Speaker, the Prime Minister said yesterday that he was willing to work with the opposition parties and consider their amendments to his electoral reform bill. Not only does this bill let the Liberal government campaign use taxpayer money outside an election period, but it also continues to allow American interference in our elections. 
If he really wants to improve this bill, will he tell Elections Canada to immediately halt the implementation of this legislation until it is passed? ",Conservative,Regina—Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/Parliamentarians/en/members/andrew-scheer(232946)
4745278,ca.proc.d.2018-05-23.10142932,2018-05-23,b8c04eca-f237-48a8-8975-374ccd40d1a9,214115,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",,Oral Questions,Democratic Reform,,"Mr. Speaker, first of all, we are very proud to say that many of the elements of the bill we tabled regarding Elections Canada actually stem from recommendations that Elections Canada made on how to improve our electoral system. The previous Conservative government mucked up our voting system by making it harder for Canadians to vote and making it easier to use more money to convince Canadians to vote for them. Fortunately, their tactics failed, and now we are working to overhaul and improve our system. ",Liberal,Papineau,Justin Trudeau,http://www.parl.gc.ca/Parliamentarians/en/members/justin-trudeau(214115)
4745279,ca.proc.d.2018-05-23.10142934,2018-05-23,6519cfba-0080-419d-baa9-8ae6e56d032f,232946,"Hon. Andrew Scheer (Leader of the Opposition, CPC)",,Oral Questions,Government Appointments,,"Mr. Speaker, in April, the Prime Minister informed the opposition parties of his intention to appoint Saskatchewan's Michael Boda as Canada's new Chief Electoral Officer, but just recently, the Prime Minister changed his mind, with absolutely no explanation. 
Can the Prime Minister please explain exactly why he rescinded Michael Boda's appointment?",Conservative,Regina—Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/Parliamentarians/en/members/andrew-scheer(232946)
4745280,ca.proc.d.2018-05-23.10142936,2018-05-23,b8c04eca-f237-48a8-8975-374ccd40d1a9,214115,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",,Oral Questions,Government Appointments,,"Mr. Speaker, after a rigorous, open, merit-based process, we are happy to have chosen Stéphane Perrault as the most qualified candidate for the position of Chief Electoral Officer. With over 20 years serving in government, he has extensive knowledge and understanding of the Canada Elections Act and the Canadian parliamentary system. We have every confidence that under his continued leadership, Elections Canada will be more than ready for the 2019 federal election. We have submitted an excellent candidate to this House and hope that all members confirm his appointment.",Liberal,Papineau,Justin Trudeau,http://www.parl.gc.ca/Parliamentarians/en/members/justin-trudeau(214115)
4745281,ca.proc.d.2018-05-23.10142938,2018-05-23,6519cfba-0080-419d-baa9-8ae6e56d032f,232946,"Hon. Andrew Scheer (Leader of the Opposition, CPC)",,Oral Questions,Foreign Affairs,,"Mr. Speaker, the Prime Minister refused to answer this question yesterday, so I will try again today.
One fact in the recent violent confrontations along the Israel-Gaza border is undeniable. The riots that led to those tragic deaths were deliberately orchestrated by the terrorist group Hamas. Unfortunately, the Prime Minister's statement last week ignored Hamas's involvement and instead blamed Israel, the most democratic, pluralistic nation in the region.
 Will the Prime Minister apologize for his poorly worded statement and finally join me in condemning Hamas for the role it played and explain his silence yesterday?",Conservative,Regina—Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/Parliamentarians/en/members/andrew-scheer(232946)
4745282,ca.proc.d.2018-05-23.10142940,2018-05-23,b8c04eca-f237-48a8-8975-374ccd40d1a9,214115,"Right Hon. Justin Trudeau (Prime Minister, Lib.)",,Oral Questions,Foreign Affairs,,"Mr. Speaker, last week I spoke directly with Prime Minister Netanyahu and explained to him that regardless of which country was involved, any time a foreign military sniper shoots a Canadian citizen, a Canadian civilian, we will have questions about that. We will stand up and express how concerned we are and ask to know exactly what happened. A Canadian doctor was shot by an Israeli sniper. This is something that we have to actually push back on and ask how that happened.",Liberal,Papineau,Justin Trudeau,http://www.parl.gc.ca/Parliamentarians/en/members/justin-trudeau(214115)
4745283,ca.proc.d.2018-05-23.10142943,2018-05-23,6519cfba-0080-419d-baa9-8ae6e56d032f,232946,"Hon. Andrew Scheer (Leader of the Opposition, CPC)",,Oral Questions,Foreign Affairs,,"Mr. Speaker, how about pushing back on the fact that this entire incident was orchestrated by a terrorist group, Hamas? This is shameful. Here we are, a week later, after the world has seen Hamas putting innocent civilians in harm's way just to achieve this very type of tragic incident, and the Prime Minister continues to place the blame unilaterally on Israel, a country that goes out of its way to minimize civilian casualties.
Will the Prime Minister finally do what the entire international community has already done: condemn Hamas and recognize its role in this tragic event?",Conservative,Regina—Qu'Appelle,Andrew Scheer,http://www.parl.gc.ca/Parliamentarians/en/members/andrew-scheer(232946)
