basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4757371,ca.proc.d.2018-10-23.10320490,2018-10-23,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Parliamentary Budget Officer,,"Pursuant to section 79.2(2) of the Parliament of Canada Act, it is my duty to present to the House a report from the Parliamentary Budget Officer entitled “Labour Market Assessment--2018”.",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4757372,ca.proc.d.2018-10-23.10320290,2018-10-23,07cf5767-802c-406c-92a7-7dc92af79b40,229526,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Routine Proceedings,Government Response to Petitions,,"Mr. Speaker, pursuant to Standing Order 36(8), I have the honour to table, in both official languages, the government's response to three petitions.",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(229526)
4757373,ca.proc.d.2018-10-23.10320554,2018-10-23,48fc6e8f-3117-407b-bba3-bd6eede347ec,224672,Hon. Bardish Chagger,,Routine Proceedings,Canada-Israel Free Trade Agreement Implementation Act,," moved for leave to introduce Bill C-85, An Act to amend the Canada-Israel Free Trade Agreement Implementation Act and to make related amendments to other Acts.
 (Motions deemed adopted, bill read the first time and printed) ",Liberal,Waterloo,Bardish Chagger,http://www.parl.gc.ca/Parliamentarians/en/members/bardish-chagger(224672)
4757374,ca.proc.d.2018-10-23.10320302,2018-10-23,9fb311fc-3875-4698-b13c-014f0d819393,217587,"Mr. Colin Carrie (Oshawa, CPC)",,Routine Proceedings,Petitions,Canada Summer Jobs Initiative,"Mr. Speaker, I am honoured to table a petition from my constituents in Oshawa. They are concerned about the Liberals' manipulation of the summer jobs program and its attestation test. In Oshawa, it primarily affects faith-based organizations that hire summer students to provide summer camps, day camps and things along these lines.
 It is a huge precedent denying funding for Canadians simply because they have a different belief than the government of the day. There is a concern about what is next. The petitioners are calling on the government to end this discrimination against faith-based organizations.",Conservative,Oshawa,Colin Carrie,http://www.parl.gc.ca/Parliamentarians/en/members/colin-carrie(217587)
4757375,ca.proc.d.2018-10-23.10320312,2018-10-23,ab30a165-2ce2-4465-af10-19ae0fc1aec0,217227,"Ms. Sheri Benson (Saskatoon West, NDP)",,Routine Proceedings,Petitions,Postal Banking,"Mr. Speaker, it is an honour to table this petition. The petitioners are calling on the government to adopt Motion No. 166 on postal banking. They point out the fact that many people are relying on payday lenders and that Canada Post has over 3,800 outlets where it could, in regions that are rural and northern, serve people who generally are unbanked.",New Democratic Party,Saskatoon West,Sheri Benson,http://www.parl.gc.ca/Parliamentarians/en/members/sheri-benson(217227)
4757376,ca.proc.d.2018-10-23.10320321,2018-10-23,775ebcdb-4561-4bd0-8c84-d14531f2c726,234611,"Mr. John Nater (Perth—Wellington, CPC)",,Routine Proceedings,Petitions,Human Organ Trafficking,"Mr. Speaker, I am pleased to table a petition. The petitioners are calling on Parliament to pass Bill C-350 and Bill S-240 dealing with the practice of organ harvesting.",Conservative,Perth—Wellington,John Nater,http://www.parl.gc.ca/Parliamentarians/en/members/john-nater(234611)
4757377,ca.proc.d.2018-10-23.10320324,2018-10-23,a710e2c4-20f9-4df8-ba6c-2dc50c03bb75,217321,"Ms. Marjolaine Boutin-Sweet (Hochelaga, NDP)",,Routine Proceedings,Petitions,The Environment," Mr. Speaker, I am pleased to present a petition signed by several hundred people, most of them from Quebec but also some from other places in Canada. According to the petitioners, there is far too much plastic in our lakes, rivers and oceans. They are asking the government to adopt a national strategy to combat plastic pollution in collaboration with first nations, the provinces and municipalities.",New Democratic Party,Hochelaga,Marjolaine Boutin-Sweet,http://www.parl.gc.ca/Parliamentarians/en/members/marjolaine-boutin-sweet(217321)
4757378,ca.proc.d.2018-10-23.10320330,2018-10-23,f16cf9dc-8300-44a4-8a4e-22df5fec17c8,237027,"Mr. Dave MacKenzie (Oxford, CPC)",,Routine Proceedings,Petitions,Human Organ Trafficking,"Mr. Speaker, I am tabling this petition supporting two bills before the House, Bill C-350 and Bill S-240, dealing with international trafficking in human organs. The petitioners would appreciate the government passing these quickly.",Conservative,Oxford,Dave MacKenzie,http://www.parl.gc.ca/Parliamentarians/en/members/dave-mackenzie(237027)
4757379,ca.proc.d.2018-10-23.10320338,2018-10-23,6e88c64b-66df-4989-84da-2a037744909c,218596,"Mr. Jamie Schmale (Haliburton—Kawartha Lakes—Brock, CPC)",,Routine Proceedings,Petitions,Human Organ Trafficking,"Mr. Speaker, it is an honour to stand and present this petition signed by many from Quebec in support of Bill C-350 in the House and Bill S-240 in the other place. They are calling on the government to speed up the passage of these bills prohibiting the use of organ harvesting.",Conservative,Haliburton—Kawartha Lakes—Brock,Jamie Schmale,http://www.parl.gc.ca/Parliamentarians/en/members/jamie-schmale(218596)
4757380,ca.proc.d.2018-10-23.10320346,2018-10-23,d013e8ca-fdd5-4eb4-a0e4-b5f0782a8f6d,217247,"Mr. Fin Donnelly (Port Moody—Coquitlam, NDP)",,Routine Proceedings,Petitions,Trans Mountain Pipeline,"Mr. Speaker, I rise today to present a petition from many petitioners throughout Quebec and the country. They are very concerned that the government would purchase Kinder Morgan, making such a poor decision with the investment of tax dollars.",New Democratic Party,Port Moody—Coquitlam,Fin Donnelly,http://www.parl.gc.ca/Parliamentarians/en/members/fin-donnelly(217247)
