basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4755431,ca.proc.d.2018-10-05.10291899,2018-10-05,48fc6e8f-3117-407b-bba3-bd6eede347ec,224672,Hon. Bardish Chagger,,Government Orders,Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act,," moved that Bill C-79, an act to implement the comprehensive and progressive agreement for trans-Pacific partnership between Canada, Australia, Brunei, Chile, Japan, Malaysia, Mexico, New Zealand, Peru, Singapore and Vietnam, be read the third time and passed.",Liberal,Waterloo,Bardish Chagger,http://www.parl.gc.ca/Parliamentarians/en/members/bardish-chagger(224672)
4755432,ca.proc.d.2018-10-05.10291833,2018-10-05,,,,,Government Orders,Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act,,"Mr. Speaker, it is a privilege once again to speak about the comprehensive and progressive agreement for trans-Pacific Partnership, the CPTPP, and the benefits for Canadians from coast to coast to coast and across all sectors of our economy. Through the CPTPP, our government is demonstrating our commitment to growing our economy and strengthening the middle class by expanding and diversifying Canada's trade and investment relations.
 Canada is a nation built on trade, and as a medium-sized economy, trade is fundamental to our continued prosperity and economic growth. While Asia has more than doubled in importance as a destination for Canadian goods and services since the turn of the century, Canada has lost market share to our competitors, because previous governments were not as seized of the need for strategic, longer-term integration with the region's fast-growing economies. The CPTPP would help remedy this. It would be the cornerstone agreement for Canada to diversify our trade and investment towards Asia and enhance our export presence in the region. 
The 11 CPTPP members represent a total of 495 million consumers and 13.5% of global GDP. Canada's exports to our CPTPP partners totalled nearly $27 billion in 2017. The CPTPP would provide Canadians with the tremendous opportunity to continue to expand their business in Asia.
Trade has long been a powerful engine that drives the Canadian economy. Canadian jobs and prosperity depend heavily on our connectivity with other countries around the world. In fact, one in five jobs in Canada are related to exports, while Canadian exports amount to nearly one-third of Canada's GDP. Opening borders to trade and investment and diversifying our trading partners has the potential to boost Canada's wealth and make us less vulnerable to changing conditions in any one market, and it is the creation of wealth that leads to more jobs.
Canadian small and medium-sized enterprises, in particular, are looking for our government to open up new markets for potential exports, and the CPTPP would help us deliver on this task. Implementing and ratifying the CPTPP would strengthen our economic ties to the 10 other CPTPP members, which include seven new free trade agreement partners: Australia, Brunei, Japan, Malaysia, New Zealand, Singapore and Vietnam. Once the CPTPP enters into force, Canada would have preferential access to 51 different countries through 14 trade agreements, representing nearly 1.5 billion consumers and over 60% of the global economy.
The CPTPP is projected to boost Canada's economy by $4.2 billion over the long term, and that growth would be driven by increased exports of goods and services and increases in investment. This would mean more jobs and more prosperity for Canadians. 
For trade in goods, the CPTPP would help Canadian businesses increase their sales and profits by eliminating virtually all tariffs, most of which would be eliminated upon entry into force of the agreement, and by establishing mechanisms to address non-tariff barriers to create more predictable and transparent trading conditions.
The CPTPP would allow Canadian companies to level the playing field with competitors that currently enjoy preferential access to key markets, such as Japan, Malaysia and Vietnam, while gaining a competitive advantage over other countries that currently do not have the same level of access. It would help Canadian companies establish customer relationships, networks and other joint partnerships and would offer Canada the opportunity to further integrate with global supply chains. 
Opening new markets to our products means that Canada would be at an advantage in exporting more agriculture and agrifood, fish and seafood, industrial machinery, and everything in between.
New markets for our agriculture and agrifood products would mean more opportunities abroad for pork from British Columbia, beef from Alberta, wheat from Saskatchewan, canola from Manitoba, icewine from Ontario, maple syrup from Quebec, blueberries from New Brunswick and Nova Scotia and potato products from Prince Edward Island and Newfoundland and Labrador, just to name a few.
 Opening new markets for our fish and seafood industry would mean more opportunities for salmon, halibut, lobster, clams, mussels and snow crab, supporting close to 76,000 Canadian jobs based mostly in rural and coastal regions from coast to coast to coast. 
Opening new markets would mean opportunities for Canada's diverse and productive manufacturing sectors, such as aerospace, chemicals, cosmetics, industrial machinery, medical devices, metal and minerals, pharmaceuticals and plastics.
 I have given just a snapshot of Canada's vibrant economy, and there are many more sectors in which exporters would benefit from the CPTPP. Securing preferential access to CPTPP markets would mean that almost all Canadian products could be exported to our CPTPP partners without facing tariffs. Upon full implementation of the agreement, 99% of tariff lines for CPTPP parties would become duty-free, covering 98% of Canada's current total exports to CPTPP markets. 
The benefits of the CPTPP would not stop there. In addition to addressing traditional trade-policy issues, such as tariffs and technical barriers to trade, the CPTPP would cover trade in services, investment, intellectual property, government procurement and state-owned enterprises. These parts of the agreement would serve to provide Canadian companies, service providers and investors alike with transparency, predictability and certainty in their access to CPTPP markets.
 For example, the national treatment and most-favoured-nation provisions, combined with a ratchet mechanism, would mean that Canadian service providers' and investors' access to CPTPP markets could only improve over time as they took steps toward greater liberalization, including when they completed free trade agreement negotiations with other countries around the world. This means that the CPTPP would not only open new markets for Canada today but that our access would improve in the future. 
This would be complemented by the commitments made on government procurement in the CPTPP, which would establish fair, open and transparent rules for competitive procurement markets. Canadian businesses would enjoy equal treatment vis-à-vis domestic suppliers when bidding for government contracts in CPTPP markets. As a result, Canadian suppliers would benefit from new opportunities in markets such as Australia, Brunei, Malaysia and Vietnam while gaining expanded government procurement access with existing FTA partners, such as Chile and Peru. It is now clearer than ever that the CPTPP is a big deal for Canadian businesses and workers.
We are making good on our commitment to create opportunities for small and medium-sized enterprises and to generate economic growth that will benefit all Canadians. This agreement would tear down barriers and build a bridge across the Pacific for Canadian exporters of goods and services. 
With the CPTPP, Canada would send a clear signal to the world that it stands firm in its support for a free, rules-based international trading system. In the wake of rising protectionist sentiments around the world, the ratification of the CPTPP would not just secure economic benefits for us today but would solidify our role in the economic architecture of Asia tomorrow and for decades to come. For these reasons, our government is committed to ratifying and bringing the CPTPP into force, and it is why I encourage hon. members of the House to support the bill before us today.
I want to also take a moment to relate the benefits of the CPTPP to my city, the great city of Mississauga. The city of Mississauga is host to 10% of the Fortune 500 companies in Canada. Ten per cent of Fortune 500 companies have their headquarters situated in Mississauga. Most, if not all, of these companies, including the aerospace industry, pharmaceuticals, food processors, engineering companies and financial institutions, would see tremendous benefits from the CPTPP. On top of that, this would be a tremendous opportunity for small and medium-sized enterprises in the city of Mississauga, which would find new access to new markets without any tariffs and with a mechanism to settle disputes that would guarantee them market access.
Mississauga is blessed with a culture of entrepreneurship. There are many entrepreneurs and innovators starting new businesses in technology and the financial industry sector. All those industries and entrepreneurs would also benefit. 
The third dimension I want to talk about is people-to-people ties. Mississauga, just like the rest of Canada, is extremely diverse. There are people from all backgrounds who have inherent ties to their ancestral homes, family links and business partners. They would be able to utilize these people-to-people links so that their businesses could benefit, grow their top lines, grow their profitability, hire more workers and expand their businesses. 
The CPTPP is tremendously good news for the entire country, but in particular, for my city, the city of Mississauga and the entire Peel region.
The other point I want to talk about is opportunity costs. We cannot afford to miss signing and being a partner within the CPTPP partnership. Canadian businesses are expanding their business relationships in Asia, and if Canada misses the boat on being one of those countries to sign and enforce this agreement as early as possible, our businesses will miss the opportunity of establishing a beachhead in Asia. They will miss the opportunity by falling behind other businesses from other countries, and we cannot afford to do that, because we will lose jobs. Our businesses will lose a competitive advantage that they need today.
Canadians today, more than ever, believe in the importance of diversifying our trade. They know that while we have a healthy, productive and profitable relationship with our neighbours to the south, we can no longer depend on one customer. We need to diversify access to different markets, and this agreement offers our businesses and workers that potential.
I am also proud to stand as a member of a government that worked with our CPTPP partners to enhance the previous agreement, the TPP. We have suspended certain provisions that we felt would not have been beneficial for our sectors. We have suspended certain provisions that we thought could have had an infringement on our intellectual properties or copyrights.
On top of that, we have added bilateral side letters with all the CPTPP partners that guarantee and protect new labour standards, environmental standards and deal with non-tariff barriers. Those side letters are enforceable. There is a dispute mechanism that is prescribed within the CPTPP which not only enforces the clauses within the CPTPP, but also allows us to enforce those side letters that protect workers' rights, the environment, our culture and our intellectual properties.
We are expanding our markets for our business. We are defending the rights of our workers. We are ensuring we have mechanisms to resolve any disputes and deal with non-tariff barriers.
I am very proud to stand here today and share with Canadians the importance of this agreement. I encourage my colleagues in the House of Commons to come together.
 I want to take a moment to thank my colleagues in the Conservative Party for their support. They have led the way among the opposition parties, encouraging other parties to support this agreement.
I also want to reach out to my colleagues in the Senate. Hopefully, very soon, they will receive the bill. I want to extend a hand to offer my support. I understand the Senate has to do it job. We look forward to working with it on passing the bill.
This is a good story for Canadians, for Canadian businesses and for Canadian workers. I look forward to seeing it come into force as quickly as possible.",,,"Mr. Omar Alghabra (Parliamentary Secretary to the Minister of International Trade Diversification, Lib.)",
4755433,ca.proc.d.2018-10-05.10291908,2018-10-05,f1ca301b-cd67-48b5-9dd4-0f6c2af5454e,217268,"Ms. Karine Trudel (Jonquière, NDP)",,Government Orders,Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act,,"Mr. Speaker, I am pleased to get a chance to speak today in the House, even though a time allocation motion has been moved for a subject as important as Bill C-79.
I listened carefully to my colleague's speech. The NDP supports balanced trade agreements that protect workers and jobs. With the agreement we are talking about today, over 58,000 workers will lose their jobs. Naturally, my colleague spoke highly of the agreement in his speech, but I would like to hear his thoughts on workers. With regard to labour, the CPTPP includes a complaint mechanism that makes workers whose rights have been violated responsible for proving that the violation had an impact on trade. I would like to hear what my colleague thinks.
 Why do workers still have to prove that the violation affects trade?",New Democratic Party,Jonquière,Karine Trudel,http://www.parl.gc.ca/Parliamentarians/en/members/karine-trudel(217268)
4755434,ca.proc.d.2018-10-05.10291911,2018-10-05,,,,,Government Orders,Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act,,"Mr. Speaker, I would like to dispute the member's assertion that Canadian workers will lose jobs because of this agreement. I totally disagree with that. I guess it is not a surprise that the NDP and our party disagree on this point. The New Democrats said the same thing about the previous NAFTA agreement and other trade agreements.
 I am glad to report to the House and to all Canadians that those fears have not been realized. In fact, Canadians know that trade and open market access create jobs and wealth and are to the benefit of all businesses in Canada.
I am also happy to talk further about the fact that we now have standards and side letters with partners in the CPTPP which uphold labour standards. I am proud to say that those agreements, those side letters, are enforceable through the dispute mechanisms.
My colleague, the NDP trade critic has, frankly, had the opportunity to ask Global Affairs Canada officials about the enforceability of those side letters, about the enforceability of those standards. Those non-political, independent officials told her, with no ambiguity or evocation, that those side letters would protect labour rights and would be enforceable.",,,Mr. Omar Alghabra,
4755435,ca.proc.d.2018-10-05.10291917,2018-10-05,f45e86b7-f192-4692-9889-6b57283fc3b0,224178,"Mr. Gabriel Ste-Marie (Joliette, BQ)",,Government Orders,Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act,,"Mr. Speaker, I would ask my colleague how his party, his government, can put forward an agreement like this when we know full well that the price of joining was supply management, which we gave up to the other parties. They sacrificed our local farmers, our dairy, egg and poultry farmers, without announcing any compensation, without a single dollar or red cent being announced as compensation for our farmers. 
We know our dairy farmers were sacrificed to sign the Canada-Europe agreement. The Conservatives announced $4.3 billion in compensation. What did we end up with? Just $250 million, and that was for an investment program, not even a compensation program. It did not work well.
Now we are getting ready to adopt the new TPP, without one red cent being given to our farmers, who are being sacrificed yet again. The same goes for the new NAFTA. I think this is unacceptable. I wonder if there is anyone in this government or party who is willing to stand up for our farmers and our dairy producers, especially in Quebec. I am looking around, but I do not see anyone.",Bloc Québécois,Joliette,Gabriel Ste-Marie,http://www.parl.gc.ca/Parliamentarians/en/members/gabriel-ste-marie(224178)
4755436,ca.proc.d.2018-10-05.10291920,2018-10-05,,,,,Government Orders,Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act,,"Mr. Speaker, this trade agreement has been the most consulted trade agreement in Canada's history. After the previous version, the TPP, was signed, we consulted Canadians for over two years. I want to thank all the stakeholders, Canadians, businesses, including members of the supply-managed sector, all those who participated in these consultations. I am proud to say that the outcome of those consultations were incorporated in the new version of the CPTPP.
Our party created supply management, and it continues to support supply management. This government and my colleagues in Quebec have been a proud voice that stands behind our farmers in the dairy and poultry sectors. Let there be no doubt that our government will always support our dairy farmers.",,,Mr. Omar Alghabra,
4755437,ca.proc.d.2018-10-05.10291922,2018-10-05,503863c7-9c0e-4df3-b6b8-5282720270ea,219830,"Mr. Chandra Arya (Nepean, Lib.)",,Government Orders,Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act,,"Mr. Speaker, Canada is a trading nation. Our prosperity continues to be dependent on the trade we have with other countries in the world. To ensure our seniors continue to enjoy the high standard of living they have, to ensure our children also have the same benefits and high standard of living and to support our middle class, these sort of trade agreements are required. 
Could my hon. colleague explain in more detail the need to diversify Canadian trade beyond North America and how this trade agreement helps increase the $27 billion in exports we have currently with 11 countries that are part of the CPTPP?",Liberal,Nepean,Chandra Arya,http://www.parl.gc.ca/Parliamentarians/en/members/chandra-arya(219830)
4755438,ca.proc.d.2018-10-05.10291929,2018-10-05,,,,,Government Orders,Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act,,"Mr. Speaker, I want to thank my colleague from Nepean for his tireless work on behalf of his constituents. My colleague has been very eloquent in reminding us that we have a strong trading relationship with our neighbours to the south. Close to 75% of our trading activities go to the United States. While that is important and we need to do everything we can to maintain that relationship, it is important for us and our businesses to diversify our markets, to create new markets from which our businesses and workers can benefit and to create create more jobs and more wealth. 
Canadians know today about the importance of diversification. We have some of the best industries in the world. We have the most skilled workers in the world. The rest of the world comes to Canada to help it with certain technologies and build certain infrastructure. Other countries need to benefit from our skilled workers in our health sector. They need to enjoy the benefits of our education system. There is tremendous demand for our technology and skilled labour. 
Asia is one of the fastest growing economies in the world. The CPTPP will provide us with new access to Asia. Our commitment is to build on it and expand access for our businesses and our workers.",,,Mr. Omar Alghabra,
4755439,ca.proc.d.2018-10-05.10291935,2018-10-05,031462db-8f61-48ed-bf9f-b033eb8312bb,217323,"Mr. Nathan Cullen (Skeena—Bulkley Valley, NDP)",,Government Orders,Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act,,"Mr. Speaker, the Liberals let it slip there a bit. They thanked the Conservatives for leading the way on this. Canadians sometimes wonder what the difference between the two parties really is on trade.
 We have seen trade deal after trade deal, with promises of improving labour and environmental standards. We had that great show of force from the Prime Minister, that he would go into NAFTA 2.0 and include gender into the agreement. However, when the NAFTA new deal was signed, that somehow was left out.
 We have seen trade deal after trade deal where the environment and labour standards are talked about, yet they are always side agreements. We can look at the TPP, or this new version they call “comprehensive” and “progressive”, which was Canada's insistence. We can put lipstick on a pig, but it is still a pig. Calling something “progressive” does not make it so. If we look for those labour standards in the agreement, are they baked into the deal or are they just side deals? If we look for the environmental conditions, will they lift up countries that have poor records right now? All this agreement asks them to do is confirm their commitment to the environment. What does that exactly mean in a country that does not have a strong commitment to the environment as it is right now? It is the status quo.
Trade can lift up all countries, but the promise is often not met in reality. We have not seen labour practices improve in South and Central America. We have not seen them improve in Asia through the successive rounds of trade deals.
How can my hon. friend expect people to keep buying this thing the Liberals are selling by simply putting a bit of lipstick on it and calling it progressive?",New Democratic Party,Skeena—Bulkley Valley,Nathan Cullen,http://www.parl.gc.ca/Parliamentarians/en/members/nathan-cullen(217323)
4755440,ca.proc.d.2018-10-05.10291940,2018-10-05,,,,,Government Orders,Comprehensive and Progressive Agreement for Trans-Pacific Partnership Implementation Act,,"Mr. Speaker, speaking of pigs, hog farmers are extremely excited about this bill. They know the CPTPP will open up the new markets in Asia and Latin America for which they are looking. They have been advocating for months, if not years, for the Government of Canada to help them open new markets. They know that they have the highest-quality products in the world and they know that customers around the world are asking for that product.
Again, it is not a surprise that the NDP is fearmongering against any trade agreement. We saw that in the 1990s, and we see that today. I encourage my hon. colleague to get with the times and realize how important free trade agreements are for Canada and Canadian workers.",,,Mr. Omar Alghabra,
